Band,Origin,Years Active,Page Title,Summary,
,,,,,
t.A.T.u.,Moscow,,T.A.T.u.,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">

<p class=""mw-empty-elt"">
</p>
<p><b>t.A.T.u.</b> (Russian: <span lang=""ru"">Тату</span>, <small>pronounced </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""ru-Latn-fonipa"">[tɐˈtu]</span> <span></span>) were a Russian music duo that consisted of Lena Katina and Julia Volkova. The singers were part of children's music group Neposedy before being managed by producer and director Ivan Shapovalov and signing with Russian record label Neformat. t.A.T.u.'s debut album <i>200 Po Vstrechnoy</i> (2001) was a commercial success in Eastern Europe, and that made the duo sign with Interscope Records to release its English-language counterpart, <i>200 km/h in the Wrong Lane</i> (2002). The album was certified platinum by the IFPI for one million copies sold in Europe and became the first album by a foreign group to reach number one in Japan. It was also certified gold in the United States and included the international hits ""All the Things She Said"" and ""Not Gonna Get Us"". The duo represented Russia in the Eurovision Song Contest 2003 with the song ""Ne ver', ne boysia"", finishing third.
</p><p>t.A.T.u. released the albums <i>Dangerous and Moving</i> and <i>Lyudi Invalidy</i> in 2005 to moderate success after parting ways with Shapovalov. The former was promoted with the international hit ""All About Us"". The duo ventured into other projects, such as creating their own production company T.A. Music and promoting the film inspired by their story, <i>You and I</i> (2008). Their last pair of albums, <i>Vesyolye Ulybki</i> and <i>Waste Management</i>, followed between 2008 and 2009, respectively. t.A.T.u. officially broke up in 2011, with Katina and Volkova pursuing solo careers. They reunited to perform at special occasions, such as the opening ceremony of the 2014 Winter Olympics in Sochi, in subsequent years.
</p>",
,,,,,
Buffalo Springfield,Los Angeles,1966–1968,Buffalo Springfield,"<p class=""mw-empty-elt"">
</p>
<p><b>Buffalo Springfield</b> was a rock band formed in Los Angeles by Canadian musicians Neil Young, Bruce Palmer and Dewey Martin and American musicians Stephen Stills and Richie Furay. The group, widely known for the song ""For What It's Worth"", released three albums and several singles from 1966 to 1968. Their music combined elements of folk music and country music with British Invasion and psychedelic rock influences. Like contemporary band the Byrds, they were key to the early development of folk rock. The band took their name from a steamroller parked outside their house.
</p><p>Buffalo Springfield formed in Los Angeles in 1966 with Stills (guitar, keyboards, vocals), Martin (drums, vocals), Palmer (bass guitar), Furay (guitar, vocals) and Young (guitar, harmonica, piano, vocals). The band signed to Atlantic Records in 1966 and released their debut single ""Nowadays Clancy Can't Even Sing"", which became a hit in Los Angeles. The following January, they released the protest song ""For What It's Worth"", which became their only US top 10 hit and a counterculture anthem. Their second album, <i>Buffalo Springfield Again</i>, marked their progression to psychedelia and hard rock and featured other well-known songs such as ""Bluebird"" and ""Mr. Soul"".
</p><p>After several drug-related arrests and line-up changes, the group disbanded in 1968. Their third and final album, <i>Last Time Around</i>, was compiled and released shortly after their dissolution. Stephen Stills went on to form the supergroup Crosby, Stills &amp; Nash with David Crosby of the Byrds and Graham Nash of the Hollies. Neil Young launched his solo career and later joined Stills in Crosby, Stills, Nash &amp; Young in 1969. Furay, along with Jim Messina, went on to form the country-rock band Poco. Buffalo Springfield was inducted into the Rock and Roll Hall of Fame in 1997, and briefly reunited for a comeback tour in 2011.
</p>


",
,,,,,
Motion City Soundtrack,Minneapolis,,Motion City Soundtrack,"<p class=""mw-empty-elt"">
</p>
<p><b>Motion City Soundtrack</b> is an American rock band that formed in Minneapolis, Minnesota in 1997. The band's line-up consists of vocalist and guitarist Justin Courtney Pierre, lead guitarist Joshua Cain, keyboardist Jesse Johnson, bassist Matthew Taylor, and drummer Tony Thaxton. Over the course of their career, the group has toured heavily and released six studio albums, the majority on independent label Epitaph Records. The band's sound, at times described as pop punk or emo, makes notable use of the Moog synthesizer. Pierre mainly handles the band's lyrics, which often touch on themes of anxiety, alienation, relationships, and self-destructive behavior.
</p><p>The band was founded by Cain and Pierre, and it took several years to form a stable lineup. <i>I Am the Movie</i>, the group's debut album, was released in 2003. Their commercial breakthrough, <i>Commit This to Memory</i>, arrived in 2005, and its follow-up <i>Even If It Kills Me</i> (2007) was similarly successful. For many years, the band was a staple of the Warped Tour. They briefly signed to major label Columbia for <i>My Dinosaur Life</i> (2010), but rejoined Epitaph for <i>Go</i> in 2012. Their most recent effort, <i>Panic Stations</i>, was released in 2015. The group disbanded the following year, but they announced a reunion in 2019.
</p>",
,,,,,
Collective Soul,Stockbridge,1992–present,Collective Soul,"<p class=""mw-empty-elt"">

</p>
<p><b>Collective Soul</b> is an American rock band originally from Stockbridge, Georgia. Now based in Atlanta, the group consists of lead vocalist Ed Roland, rhythm guitarist Dean Roland, bassist Will Turpin, drummer Johnny Rabb, and lead guitarist Jesse Triplett. Formed in 1992, the original lineup consisted of the Roland brothers, Turpin, guitarist Ross Childress, and drummer Shane Evans. Collective Soul released their <i>Hints, Allegations, and Things Left Unsaid</i> album on the independent label Rising Storm Records in 1993. The band went from obscurity to popularity that year after the album's lead single ""Shine"" received regional radio play. The album was then re-released in 1994 by the major label Atlantic Records; thus, ""Shine"" became a national hit as it peaked at No. 1 on the Mainstream Rock and No. 4 on the Mainstream Top 40 charts.
</p><p>Collective Soul released a self-titled album in March 1995. Considered by Ed Roland to be the band's true debut album, <i>Collective Soul</i> spent 76 weeks on the <i>Billboard</i> 200 charts and went triple-platinum, becoming the band's highest-selling album. The singles ""December"", ""The World I Know"", and ""Where the River Flows"" each reached No. 1 on the Mainstream Rock charts. About two years later, Collective Soul released <i>Disciplined Breakdown</i>. Although not as successful in sales as their previous two albums, <i>Disciplined Breakdown</i> contained two No. 1 Mainstream Rock chart hits with ""Precious Declaration"" and ""Listen"". The band released a fourth studio album, <i>Dosage</i>, in 1999. The album's first single, ""Heavy"",  spent a then record-breaking 15 weeks on the top spot of the Mainstream Rock charts.
</p><p>The band released <i>Blender</i> in 2000, their fifth and final album with the original starting lineup, as lead guitarist Childress left the band in 2001. About two weeks after Childress' departure, Collective Soul released <i>Seven Year Itch</i>, a compilation of their greatest hits between 1994 and 2001. Collective Soul established their own label, El Music Group, prior to releasing <i>Youth</i> in 2004. Original drummer Evans then departed from the band at the end of 2005. Collective Soul has since released five more albums: <i>Afterwords</i> (2007), a second self-titled album (2009), <i>See What You Started by Continuing</i> (2015), <i>Blood</i> (2019), and <i>Vibrating</i> (2022).
</p>",
,,,,,
The Naked and Famous,Auckland,2007–present,The Naked and Famous,"<p class=""mw-empty-elt"">
</p>
<p><b>The Naked and Famous</b> are a New Zealand indie electronic band from Auckland, formed in 2007. The band currently consists of Alisa Xayalith (vocals, keyboards) and Thom Powers (vocals, guitars).</p><p>The band has released four studio albums: <i>Passive Me, Aggressive You</i> (2010), <i>In Rolling Waves</i> (2013), <i>Simple Forms</i> (2016) and <i>Recover</i> (2020). Since 2012, the band has been based in Los Angeles, California.
</p>",
,,,,,
The Last Shadow Puppets,England,,The Last Shadow Puppets,"<p class=""mw-empty-elt"">

</p>
<p><b>The Last Shadow Puppets</b> are an English supergroup consisting of Alex Turner (Arctic Monkeys), Miles Kane (The Rascals, solo artist), James Ford (Simian, Simian Mobile Disco, music producer), and Zach Dawes (Mini Mansions). The band released their debut album <i>The Age of the Understatement</i> in 2008. Following a lengthy hiatus, they returned, releasing second album <i>Everything You've Come to Expect</i> in 2016.
</p>",
,,,,,
Four Tet,Putney,1995–present,Four Tet,"<p class=""mw-empty-elt"">

</p>

<p><b>Kieran Hebden</b> (born September 1977), known as <b>Four Tet</b>, is an English electronic musician. He came to prominence as a member of the post-rock band Fridge before establishing himself as a solo artist with charting and critically acclaimed albums such as <i>Rounds</i> (2003), <i>Everything Ecstatic</i> (2005) and <i>There Is Love in You</i> (2010). In addition to his eleven studio albums as Four Tet, Hebden's work includes a number of improvisational works with jazz drummer Steve Reid and collaborations with Burial and Thom Yorke.
</p><p>Alongside his own recordings, Hebden has produced albums by American improvisational group Sunburned Hand of the Man and Syrian dabke singer Omar Souleyman, and arranged the 2021 Madlib album <i>Sound Ancestors</i>. He has also remixed tracks by artists including Aphex Twin, Bicep, Explosions in the Sky, Bloc Party, Super Furry Animals, Radiohead, Ellie Goulding, J Dilla, Lana Del Rey, Manic Street Preachers, Sia, Black Sabbath and Madvillain; several of these were collected on the compilation <i>Remixes</i> (2006). He has additionally performed DJ mixes, including sets with American producer Skrillex and British producer Fred Again.
</p>


",
,,,,,
Rancid,Berkeley,1991–present,Rancid (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Rancid</b> is an American punk rock band formed in Berkeley, California in 1991. Founded by Tim Armstrong and Matt Freeman, former members of the band Operation Ivy, Rancid is often credited as being among the wave of bands that revived mainstream interest in punk rock in the United States during the mid-1990s. Over their <span></span>32-year career, Rancid retained much of its original fan-base, most of which was connected to its underground musical roots.</p><p>Rancid has had two lineup changes since its inception, with Tim Armstrong and Matt Freeman being continuous members. Their current lineup consists of Armstrong on guitar and vocals, Freeman on bass and vocals, Lars Frederiksen on guitar and vocals, and Branden Steineckert on drums. The band was formed by Armstrong, Freeman, and former drummer Brett Reed, who left the band in 2006 and was replaced by Steineckert. This lineup recorded their first album, with Frederiksen joining the band on their subsequent tour.
</p><p>To date, Rancid has released nine studio albums, one split album, one compilation, two extended plays, and a series of live online-only albums, and has been featured on a number of compilation albums. The band has sold over four million records worldwide, making it one of the most successful punk rock groups of all time. The band rose to fame in 1994 with its second studio album, <i>Let's Go</i>, featuring the single ""Salvation"". In the following year, Rancid released its highly successful album <i>...And Out Come the Wolves</i>, which produced its best-known songs ""Roots Radicals"", ""Ruby Soho"", and ""Time Bomb"", and was certified gold and platinum by the RIAA, selling over one million copies in the United States alone. Its next five albums – <i>Life Won't Wait</i> (1998), <i>Rancid</i> (2000), <i>Indestructible</i> (2003), <i>Let the Dominoes Fall</i> (2009), and <i>...Honor Is All We Know</i> (2014) – were also critically acclaimed, though not as commercially successful as <i>...And Out Come the Wolves</i>. Their most recent studio album, <i>Trouble Maker</i>, was released on June 9, 2017, and they are currently working on a follow-up album.
</p>


",
,,,,,
Savage Garden,Brisbane,1993–2001,Savage Garden,"<p class=""mw-empty-elt"">

</p>
<p><b>Savage Garden</b> were an Australian pop duo consisting of Darren Hayes on vocals and Daniel Jones on guitar, keyboards and vocals.  Formed in Brisbane, Queensland, in 1993. They were signed to John Woodruff's talent agency and achieved international success with their No. 1 hit singles ""I Want You"", ""To the Moon and Back"" (both 1996), ""Truly Madly Deeply"" (1997) and ""I Knew I Loved You"" (1999).
</p><p>The band's two studio albums, <i>Savage Garden</i> (March 1997) and <i>Affirmation</i> (November 1999), reached No. 1 in Australia and in Sweden, they also peaked in the top ten in both the United Kingdom and United States. These albums sold a total of 23 million copies worldwide. The group won a record number of ten ARIA Music Awards in 1997 for their debut album and its related singles. They disbanded at the end of 2001 with Hayes continuing as a solo artist while Jones moving into record production before becoming a real estate agent. Despite repeated media speculation the duo have no plans to reform and, in September 2020, Hayes reiterated that a reunion would never occur.
</p>

",
,,,,,
The Presidents of the United States of America,Seattle,,The Presidents of the United States of America (band),"<p class=""mw-empty-elt"">

</p>
<p><b>The Presidents of the United States of America</b> (occasionally referred to as <b>PUSA</b>, <b>PotUSA</b>, <b>The Presidents of the USA</b> or simply <b>The Presidents</b>) were an American alternative rock band formed in Seattle, Washington, in 1993. The three-piece group's initial line-up consisted of vocalist and bassist Chris Ballew, drummer Jason Finn, and guitarist Dave Dederer. The band became popular in the mid-1990s for their hits ""Lump"" and ""Peaches""—released in 1995 and 1996, respectively—which helped their self-titled debut album go 3× platinum.</p><p>The group broke up for the first time in late 1997 because their singer Chris Ballew wanted a solo career; they performed a farewell concert early the next year. They reunited in 2002. In 2004, Dederer left the group and was replaced by Andrew McKeag. The Presidents privately disbanded in 2015, and the news was made public a year later.</p>


",
,,,,,
Everclear,Portland,1991–present,Everclear (band),"<p class=""mw-empty-elt"">
</p>
<p class=""mw-empty-elt"">

</p>
<p><b>Everclear</b> is an American rock band formed in Portland, Oregon, in 1991. The band was formed by Art Alexakis, the band's lead songwriter, vocalist, and guitarist; and for most of the band's height of popularity, consisted of Craig Montoya on bass guitar and Greg Eklund on drums. After the limited release of their independently released debut album, <i>World of Noise</i>, the band found success with their first three albums on Capitol Records: <i>Sparkle and Fade</i>, <i>So Much for the Afterglow</i>, and <i>Songs from an American Movie Vol. One: Learning How to Smile</i>, which were all certified platinum in sales. However, the following two albums <i>Songs from an American Movie Vol. Two: Good Time for a Bad Attitude</i> and <i>Slow Motion Daydream</i>, were not as well received, and as sales suffered, Montoya and Eklund left the band shortly after in 2003.
</p><p>After a brief stint of solo performances, Alexakis decided to push forward with the Everclear name, finding new musicians to perform with and releasing two more albums, <i>Welcome to the Drama Club</i> and <i>Invisible Stars</i>. In 2012, Alexakis started a 1990s nostalgia tour, named the Summerland Tour, which occurs every summer with Everclear and other 1990s alternative rock bands. In April 2015, the band released a ninth studio album, entitled <i>Black is the New Black</i>.
</p>",
,,,,,
The Human League,Sheffield,1977–present,The Human League,"<p class=""mw-empty-elt"">

</p>
<p><b>The Human League</b> are an English synth-pop band formed in Sheffield in 1977. Initially an experimental electronic outfit, the group signed to Virgin Records in 1979 and later attained widespread commercial success with their third album <i>Dare</i> in 1981 after restructuring their lineup. The album contained four hit singles, including the UK/US number one hit ""Don't You Want Me"". The band received the Brit Award for Best British Breakthrough Act in 1982. Further hits followed throughout the 1980s and into the 1990s, including ""Mirror Man"", ""(Keep Feeling) Fascination"", ""The Lebanon"", ""Human"" (a second US No. 1) and ""Tell Me When"".
</p><p>The only constant band member since 1977 has been lead singer and songwriter Philip Oakey. Keyboard players Martyn Ware and Ian Craig Marsh both left the band in 1980 to form Heaven 17. Under Oakey's leadership, the Human League then evolved into a commercially successful new pop band, with a new line-up including female vocalists Joanne Catherall and Susan Ann Sulley. Since the mid-1990s, the band have essentially been a trio of Oakey, Catherall and Sulley with various sidemen.
</p><p>Since 1978, the Human League have released 9 studio albums, a remix album, a live album, 6 EPs, 29 singles and 13 compilation albums. They have had 6 Top 20 albums and 13 Top 20 singles in the UK and had sold more than 20 million records worldwide by 2010. As an early techno-pop act that received extensive MTV airplay, they are regarded as one of the leading artists of the 1980s Second British Invasion of the US.</p>",
,,,,,
Nada Surf,New York City,1992–present,Nada Surf,"<p class=""mw-empty-elt"">
</p>
<p><b>Nada Surf</b> is a New York City-based American alternative rock band formed in the 1990s, consisting of Matthew Caws (guitar, vocals), Ira Elliot (drums), Doug Gillard (guitar, backing vocals), and Daniel Lorca (bass, backing vocals).
</p>


",
,,,,,
Soft Cell,Leeds,"1977–1984, 2000–2005, 2018–present",Soft Cell,"<p class=""mw-empty-elt"">

</p>
<p><b>Soft Cell</b> are  an English synthpop duo who came to prominence in the early 1980s. The duo consists of vocalist Marc Almond and instrumentalist David Ball. The band are primarily known for their 1981 hit version of ""Tainted Love"" and their platinum-selling debut album <i>Non-Stop Erotic Cabaret</i>.</p><p>In the United Kingdom, Soft Cell had twelve top 40 hits, including ""Tainted Love"" (number 1), ""Torch"" (number 2), ""Say Hello, Wave Goodbye"", ""What"" (both number 3), and ""Bedsitter"" (number 4). They also had four top 20 albums between 1981 and 1984. In 1984, the duo split; however, they reformed in 2001 to tour and release a new album. They held a reunion concert in London on 30 September 2018, stating it would be their last live UK performance as a duo but that they may still perform abroad and record together.
</p><p>Soft Cell's songs have been covered by several artists, including David Gray, Coil and Nine Inch Nails. Their track ""Memorabilia"" earned recognition for the band as pioneers of the synth-oriented techno genre. The duo have sold in excess of ten million records world-wide.</p>


",
,,,,,
My Bloody Valentine,Dublin,1983–1997|2007–present,My Bloody Valentine (band),"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>My Bloody Valentine</b> (often stylised in all lowercase) is an Irish-English rock band formed in Dublin in 1983 and consisting since 1987 of founding members Kevin Shields (vocals, guitar, sampler), Colm Ó Cíosóig (drums, sampler) with Bilinda Butcher (vocals, guitar) and Debbie Googe (bass). Their music is characterized by dissonant guitar textures, androgynous vocals, and unorthodox production techniques. They are credited with pioneering the 1990s genre shoegaze.
</p><p>Following several unsuccessful early releases and membership changes, My Bloody Valentine signed to Creation Records in 1988. The band released several successful EPs and the albums <i>Isn't Anything</i> (1988) and <i>Loveless</i> (1991) on the label; the latter is often described as their magnum opus and one of the best rock albums of the 1990s. However, My Bloody Valentine were dropped by Creation after its release due to the album's extensive production costs. In 1992, the band signed to Island Records and recorded several albums worth of unreleased material, remaining largely inactive.
</p><p>Googe and Ó Cíosóig left the band in 1995, and were followed by Butcher in 1997. Unable to complete a follow-up to <i>Loveless</i>, Shields isolated himself and, in his own words, ""went crazy"". In 2007, My Bloody Valentine reunited and subsequently embarked on a world tour. They released the compilation <i>EP's 1988-1991</i> in 2012. Their long-delayed third studio album, <span><i>m b v</i></span>, was released in 2013 and supported by further touring.
</p>


",
,,,,,
The Zombies,St Albans,,The Zombies,"<p class=""mw-empty-elt"">

</p>
<p><b>The Zombies</b> are a British rock band formed in the early 1960s in St Albans and led by keyboardist and vocalist Rod Argent and vocalist Colin Blunstone. The group had a British and American hit in 1964 with ""She's Not There"". In the US, two further singles—""Tell Her No"" in 1965 and ""Time of the Season"" in 1968—were also successful. Their 1968 album <i>Odessey and Oracle</i> was ranked number 100 on <i>Rolling Stone</i><span>'</span>s 2012 list of the 500 Greatest Albums of All Time, and number 243 on Rolling Stone's 2020 list. The Zombies were inducted into the Rock and Roll Hall of Fame in 2019.</p>",
,,,,,
The Doobie Brothers,San Jose,1970–1982,The Doobie Brothers,"<p class=""mw-empty-elt"">
</p>
<p><b>The Doobie Brothers</b> are an American rock band formed in 1970 in San Jose, California, known for their flexibility in performing across numerous genres and their vocal harmonies. Active for five decades, with their greatest success in the 1970s, the group's current lineup consists of founding members Tom Johnston (guitars, vocals) and Patrick Simmons (guitars, vocals), alongside Michael McDonald (keyboards, vocals) and John McFee (guitars, pedal steel, violin, backing vocals), and touring musicians including John Cowan (bass, vocals), Marc Russo (saxophones), Ed Toth (drums), and Marc Quiñones (percussion). Other long-serving members of the band include guitarist Jeff ""Skunk"" Baxter (1974–1979), bassist Tiran Porter (1972–1980, 1987–1992) and drummers John Hartman (1970–1979, 1987–1992), Michael Hossack (1971–1973, 1987–2012), and Keith Knudsen (1973–1982, 1993–2005). They performed gospel influenced songs such as ""Take Me in Your Arms (Rock Me a Little While)"" and ""Jesus is Just Alright"".</p><p>Johnston provided the lead vocals for the band from 1970 to 1975, when they featured a mainstream rock sound with elements of folk, country and R&amp;B. Michael McDonald joined the band in 1975 as a keyboard player and second lead vocalist, to give some relief to Johnston, who was suffering health problems at the time. McDonald's interest in soul music introduced a new sound to the band. Johnston and McDonald performed together as co-lead vocalists for one album, <i>Takin' It to the Streets</i>, before Johnston retired fully in 1977. Frequent lineup changes followed through the rest of the 1970s, and the band broke up in 1982 with Simmons being the only constant member having appeared on all of their albums. In 1987 the Doobie Brothers reformed with Johnston back in the fold; McDonald, who had previously made several guest appearances since their reformation, returned to the band full-time in 2019 for their 50th anniversary tour.
</p><p>The group's fourteen studio albums include six top-ten appearances on the <i>Billboard</i> 200 album chart, including 1978's <i>Minute by Minute</i>, which reached number one for five weeks, and won the band a Grammy for Best Pop Vocal Performance by a Duo or Group, while the single ""What A Fool Believes"" from the album won three Grammys itself. The band has released six live albums, and numerous greatest hits compilations, including 1976's <i>Best of The Doobies</i>, which was certified diamond by the RIAA for reaching album sales of ten million copies, the band's best selling album. The band's sixteen <i>Billboard</i> Hot 100 top-40 hits include ""Listen to the Music"", ""Jesus is Just Alright"", ""Long Train Runnin'"", ""China Grove"", ""Black Water"" (#1 in 1974), ""Takin' It to the Streets"", ""What A Fool Believes"" (#1 in 1979), and ""The Doctor"", all of which remain in heavy rotation on classic hits radio.
</p><p>The Doobie Brothers were inducted into the Vocal Group Hall of Fame in 2004, and the Rock and Roll Hall of Fame on November 7, 2020. The group has sold more than 40 million albums worldwide.</p>",
,,,,,
The Streets,Birmingham,1994–2011|2017–present,The Streets,"<p class=""mw-empty-elt"">

</p>
<p><b>The Streets</b> are an English music project led by vocalist and multi-instrumentalist Mike Skinner.
</p><p>The project has released six studio albums: <i>Original Pirate Material</i> (2002), <i>A Grand Don't Come for Free</i> (2004), <i>The Hardest Way to Make an Easy Living</i> (2006), <i>Everything Is Borrowed</i> (2008), <i>Computers and Blues</i> (2011), an internet-only album <i>Cyberspace and Reds</i> (2011) and a string of successful singles in the mid-2000s, including ""Has It Come to This?"", ""Fit but You Know It"", ""Dry Your Eyes"", ""When You Wasn't Famous"" and ""Prangin' Out"".
</p>",
,,,,,
The Calling,Los Angeles,"1996–2005|2013, 2016",The Calling (band),"<p><b>The Calling</b> was an American rock band from Los Angeles, California, formed in 1996 by lead singer and guitarist Alex Band and guitarist Aaron Kamin. The current, official lineup of the band (as of 2020) consists of Band, Daniel Thomson, Travis Loafman &amp; Joey Clement. Thomson and Loafman both joining The Calling in 2016 while Clement later joined in 2020. They are best known for their hit single, ""Wherever You Will Go"", which topped the Adult Top 40 for 23 weeks, making it the second longest running number one in the chart’s history and later named the number one song of the decade of 2000s on the Adult Pop Charts by <i>Billboard</i> magazine. Their debut album <i>Camino Palmero</i> was released in July 2001 and was a commercial success.
</p><p>Their second album <i>Two</i>, was released in June 2004. Its lead single ""Our Lives"" was featured in the closing ceremonies of the 2004 Summer Olympics as well as the opening song of the 78th annual Academy Awards.
</p><p>The band broke up in 2005, but in 2013, The Calling reformed with a new lineup.
</p>",
,,,,,
Biffy Clyro,Kilmarnock,1995–present,Biffy Clyro,"<p class=""mw-empty-elt"">

</p>
<p><b>Biffy Clyro</b> are a Scottish rock band that formed in Kilmarnock, East Ayrshire, composed of Simon Neil (guitar, lead vocals), James Johnston (bass, vocals), and Ben Johnston (drums, vocals). Currently signed to 14th Floor Records, they have released nine studio albums, six of which (<i>Puzzle</i>, <i>Only Revolutions</i>, <i>Opposites</i>, <i>Ellipsis</i>, <i>A Celebration of Endings</i> and <i>The Myth of the Happily Ever After</i>)  reached the top five in the UK Albums Chart, with their sixth studio album, <i>Opposites</i> claiming their first UK No. 1 album. Three consecutive studio albums (<i>Opposites</i>, <i>Ellipsis</i> and <i>A Celebration of Endings</i>) peaked at number one in the UK official albums chart. After their first three albums, the band expanded their following significantly in 2007 with the release of their fourth album, <i>Puzzle</i>, creating more mainstream songs with simpler rhythms and distancing themselves from the more unusual dissonant style present in their previous three albums. <i>Puzzle</i> peaked at No. 2 on the UK Albums Chart on 16 June 2007. The album went platinum in the UK in 2012, having sold over 300,000 copies. In the early 2010’s, they built up a reputation of being one of the biggest rock bands in the UK.
</p><p>The band released <i>Only Revolutions</i> in 2009 which reached No. 3 in the UK chart and went gold within days of its release in 2009, going platinum later in 2010 (achieving double-platinum status in August 2011) and receiving a Mercury Music Prize nomination. <i>Only Revolutions</i> included the UK hit singles ""Mountains"", ""That Golden Rule"", and ""Many of Horror"", all of which reached the UK Top Ten. The latter reached No. 8 on the UK Singles Chart after <i>The X Factor</i> 2010 winner, Matt Cardle covered the song, and became the UK number one Christmas single for the year 2010. In 2011, the band was nominated for the Brit Awards for Best British Group. At the 2013 NME Awards, they received the award for Best British Band. On 25 August 2013 Biffy Clyro headlined the main stage at Reading and Leeds Festival. Their sixth studio album, the double album <i>Opposites</i> was released in 2013, and was their first No. 1 album. Their seventh studio album, <i>Ellipsis</i> also reached number one upon release in 2016. Based on their album and single certifications, the band have sold in excess of 1,240,000 albums and 400,000 singles in the UK alone. <i>A Celebration of Endings</i> was released on 14 August 2020, and debuted at number one on the UK Albums Chart on 21 August 2020. <i>The Myth of the Happily Ever After</i> was release on 22 October 2021, and entered the UK album chart at number four.
</p><p>As of 2021, in total, the band have spent 165 weeks in the top seventy-five of the UK Album Charts, with three of those weeks being at the top position at number one and 76 weeks within the main top forty of the albums charts. The band's singles have spent a total of 79 weeks in the UK Singles Charts, with six weeks in the top ten and 42 in the top forty.</p>

",
,,,,,
Nightmares on Wax,,1988–present,Nightmares on Wax,"<p class=""mw-empty-elt"">

</p>
<p><b>George Evelyn</b> (born 15 January 1970), better known by his stage name <b>Nightmares on Wax</b> or <b>DJ E.A.S.E.</b>, is an English DJ and record producer from Leeds. His music has been released by Warp Records. He is based in Ibiza. Nightmares on Wax were originally a group consisting of Evelyn and John Halnon, and then later with Kevin Harper.
</p>",
,,,,,
Switchfoot,San Diego,,Switchfoot,"<p class=""mw-empty-elt"">
</p>
<p><b>Switchfoot</b> is an American rock band from San Diego, California. The band's members are Jon Foreman (lead vocals, guitar), Tim Foreman (bass guitar, backing vocals), Chad Butler (drums, percussion), and Jerome Fontamillas (guitar, keyboards, backing vocals). After early successes in the Christian rock scene, Switchfoot first gained mainstream recognition with the inclusion of four of their songs in the 2002 movie <i>A Walk to Remember</i>. This recognition led to their major label debut, <i>The Beautiful Letdown</i>, which was released in 2003 and featured the hits ""Meant to Live"" and ""Dare You to Move"". The album sold over 2.6 million copies. They have since been noted for their energetic live shows, and their seventh studio album <i>Hello Hurricane</i> received a Grammy award in 2011 for Best Rock or Rap Gospel Album.
</p><p>According to Jon Foreman, the name ""Switchfoot"" comes from a surfing term. ""We all love to surf and have been surfing all our lives so to us, the name made sense. To switch your feet means to take a new stance facing the opposite direction. It's about change and movement, a different way of approaching life and music.""</p>",
,,,,,
Local Natives,Silver Lake,2005–present,Local Natives,"<p class=""mw-empty-elt"">
</p>
<p><b>Local Natives</b> is an American indie rock band based in Silver Lake, Los Angeles. The band consists of Taylor Rice (vocals, guitar), Kelcey Ayer (vocals, keyboards, guitar), Ryan Hahn (guitar, backing vocals), Matt Frazier (drums) and Nik Ewing (bass).
</p><p>Their debut album, <i>Gorilla Manor</i>, was first released in the UK in November 2009, and later released in the US on February 16, 2010. The album received mostly positive reviews and debuted on the <i>Billboard</i> 200 and at No. 3 in the New Artist Chart. Their second album, <i>Hummingbird</i>, was released in January 2013. Their third album, <i>Sunlit Youth</i>, was released in September 2016. Their fourth album, <i>Violet Street</i>, was released April 2019.
</p>


",
,,,,,
The Hollies,Manchester,1962–present,The Hollies,"<p class=""mw-empty-elt"">

</p>
<p><b>The Hollies</b> are a British rock and pop band, formed in 1962. One of the leading British groups of the 1960s and into the mid-1970s, they are known for their distinctive three-part vocal harmony style. Allan Clarke and Graham Nash founded the band as a Merseybeat-type group in Manchester, although some of the band members came from towns further north in East Lancashire. Nash left the group in 1968 to form Crosby, Stills &amp; Nash, though he has reunited with the Hollies on occasion.
</p><p>They enjoyed considerable popularity in the UK and Europe during the mid-1960s with a string of hit singles that included ""Just One Look"" (1964), ""Here I Go Again"" (1964), ""I'm Alive"" (1965; their first of two UK number-ones), ""Look Through Any Window"" (1965) and ""I Can't Let Go"" (1966), although they did not achieve US chart success until ""Bus Stop"" was released in 1966. The group went on to have periodic success on both sides of the Atlantic over the next decade with hits such as ""Stop Stop Stop"" (1966), ""On a Carousel"" (1967), ""Carrie Anne"" (1967), ""He Ain't Heavy, He's My Brother"" (1969), ""Long Cool Woman in a Black Dress"" (1972) and ""The Air That I Breathe"" (1974). ""He Ain't Heavy"" reached number-one on the UK Singles Chart following a 1988 re-release. Overall, the Hollies had over 30 charting singles on the UK Singles Chart, 22 on the <i>Billboard</i> Hot 100, and 21 in Canada.
</p><p>The Hollies are one of the few UK groups of the early 1960s, along with the Rolling Stones, who have never disbanded and continue to record and perform. In recognition of their achievements, the Hollies were inducted into the Rock and Roll Hall of Fame in 2010.</p>",
,,,,,
