Artist,Type,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Perry Como,artist,Pierino Ronald Como,1912|5|18,Canonsburg,1932–1997,Vocals,Perry Como,"<p class=""mw-empty-elt"">
</p>
<p><b>Pierino Ronald</b> ""<b>Perry</b>"" <b>Como</b> (<span></span>; May 18, 1912 – May 12, 2001) was an American singer, actor and television personality. During a career spanning more than half a century, he recorded exclusively for RCA Victor for 44 years, after signing with the label in 1943.</p><p>He recorded primarily vocal pop and was renowned for recordings in the intimate, easy-listening genre pioneered by multi-media star Bing Crosby.</p><p>""Mr. C."", as he was nicknamed, sold millions of records and pioneered a weekly musical variety television show. His weekly television shows and seasonal specials were broadcast throughout the world. In the official RCA Records <i>Billboard</i> magazine memorial, his life was summed up in these few words: ""50 years of music and a life well lived. An example to all.""</p><p>Como received five Emmys from 1955 to 1959, and a Christopher Award in 1956. He also shared a Peabody Award with good friend Jackie Gleason in 1956. He received a Kennedy Center Honor in 1987 and was inducted into the Academy of Television Arts &amp; Sciences Hall of Fame in 1990. Posthumously, Como received the Grammy Lifetime Achievement Award in 2002 and was inducted into the Long Island Music Hall of Fame in 2006. He has the distinction of having three stars on the Hollywood Walk of Fame for his work in radio, television, and music.</p>"
Brenda Lee,artist,Brenda Mae Tarpley,1944|12|11,Atlanta,,,Brenda Lee,"<p class=""mw-empty-elt"">
</p>
<p><b>Brenda Mae Tarpley</b> (born December 11, 1944), known professionally as <b>Brenda Lee</b>, is an American singer. Performing rockabilly, pop and country music, she had 47 US chart hits during the 1960s and is ranked fourth in that decade, surpassed only by Elvis Presley, the Beatles and Ray Charles. She is known for her 1960 hit ""I'm Sorry"" and 1958's ""Rockin' Around the Christmas Tree"", which has become a Christmas standard.</p><p>At 4 ft 9 inches tall (approximately 145 cm), she received the nickname ""Little Miss Dynamite"" in 1957, after recording the song ""Dynamite"" when she was 12, and was one of the earliest pop stars to have a major contemporary international following. In 1969, Lee returned to the charts with her recording ""Johnny One Time"" penned by A. L. ""Doodle"" Owens and Dallas Frazier. The song reached #3 on <i>Billboard</i><span>'</span>s Adult Contemporary Chart and #41 on the <i>Billboard</i> Hot 100. The song also earned Lee her second Grammy nomination for Best Pop Female Vocal. Later success came with a return to her roots as a country singer, with a string of hits through the 1970s and 1980s.
</p><p>Lee has sold more than 100 million records worldwide. She is a member of the Rock and Roll, Country Music and Rockabilly Halls of Fame. She is also a Grammy Lifetime Achievement Award recipient. Lee is the first woman to be inducted into both the Rock and Roll and Country Music Halls of Fame.</p>"
Flux Pavilion,artist,,1989|1|15,Towcester,2008-present,,Flux Pavilion,"<p class=""mw-empty-elt"">

</p>
<p><b>Joshua Steele</b> (born 15 January 1989) better known by his stage name <b>Flux Pavilion</b>, is an English EDM producer, DJ, singer-songwriter and label owner who has been performing since 2008.</p><p>Flux Pavilion has headlined three US tours, two UK tours, and several festival DJ sets, including Glastonbury, Reading, Coachella, and EDC Vegas. He has also made live performances with Example, Foreign Beggars and Chiddy Bang. Flux has listed his sound to be inspired by The Prodigy and Rusko.</p>

"
Solange,artist,Solange Piaget Knowles,1986|6|24,Houston,2001–present,Vocals,Solange Knowles,"<p class=""mw-empty-elt"">

</p>
<p><b>Solange Piaget Knowles</b> (<span></span>; born June 24, 1986) is an American singer, songwriter, performance artist, and actress. Expressing an interest in music from an early age, Knowles had several temporary stints as a backup dancer for Destiny's Child, which featured her elder sister, Beyoncé Knowles, among its members, before signing with her father Mathew Knowles's Music World Entertainment label. At age 16, Knowles released her first studio album <i>Solo Star</i> (2002). She also appeared in the films <i>Johnson Family Vacation</i> (2004), and <i>Bring It On: All or Nothing</i> (2006). 
</p><p>In 2007, Knowles began to record music again. Heavily influenced by Motown girl groups, her second studio album <i>Sol-Angel and the Hadley St. Dreams</i> (2008) deviated from the pop-oriented music of her debut to Motown-inspired sounds from the 60's and 70's. It peaked at number nine on the US <i>Billboard</i> 200 and received positive reviews from critics. She followed this up with the 1980s pop and R&amp;B-inspired extended play <i>True</i> (2012) on Terrible Records and her imprint Saint Records. Her third studio album, <i>A Seat at the Table</i> (2016) was released to widespread critical acclaim and became her first number-one album in the United States. The album's lead single, ""Cranes in the Sky"" won the Grammy for Best R&amp;B Performance. Her fourth studio album, <i>When I Get Home</i>, was released in March 2019 to further critical acclaim.
</p><p>Knowles says that her first passion is songwriting. Frequently compared by the media to her sister Beyoncé, Knowles has claimed that they have different aspirations and are musically different. She has been ranked by <i>Billboard</i> as the 100th most successful dance artist of all-time, and in 2017 was honored with the ""Impact Award"" at the <i>Billboard</i> Women in Music event. Her other ventures include an endorsement deal with Rimmel London and a line of hip-hop-oriented merchandise for young children.
</p><p>Knowles has also ventured into performance art, working in several international museums and exhibitions, such as the Elbphilharmonie, the Venice Art Biennale and the Solomon R. Guggenheim Museum. In 2022, Knowles became the third woman and first African American to compose a score for the New York City Ballet.
</p>"
Julie London,artist,Julie Peck,1926|9|26,Santa Rosa,1944–1981,,Julie London,"<p class=""mw-empty-elt"">

</p>
<p><b>Julie London</b> (née <b>Peck</b>; September 26, 1926 – October 18, 2000) was an American singer and actress whose career spanned more than 40 years. A torch singer noted for her sultry, languid contralto vocals, London recorded over thirty albums of pop and jazz standards between 1955 and 1969. Her recording of ""Cry Me a River"", a track she introduced on her debut album, was inducted into the Grammy Hall of Fame in 2001. In addition to her musical notice, London was nominated for a Golden Globe Award in 1974 for her portrayal of nurse Dixie McCall in the television series <i>Emergency!</i>.
</p><p>Born in Santa Rosa, California, to vaudevillian parents, London was discovered while working as an elevator operator in downtown Los Angeles, and she began her career as an actress. London's 35-year acting career began in film in 1944, and included roles as the female lead in numerous westerns, co-starring with Rock Hudson in <i>The Fat Man</i> (1951), with Robert Taylor and John Cassavetes in <i>Saddle the Wind</i> (1958), with Gary Cooper in <i>Man of the West</i> (1958) and with Robert Mitchum in <i>The Wonderful Country</i> (1959).
</p><p>In the mid-1950s, she signed a recording contract with Liberty Records, marking the beginning of her professional musical career. She released her final studio album in 1969, but achieved continuing success playing the female starring role of nurse Dixie McCall in the television series <i>Emergency!</i> (1972–1979), in which she acted with her husband Bobby Troup. The show was produced by her ex-husband Jack Webb.
</p>"
Gary Moore,artist,Robert William Gary Moore,1952|04|04,Belfast,1968–2011,,Gary Moore,"<p class=""mw-empty-elt"">


</p>

<p><b>Robert William Gary Moore</b> (4 April 1952 – 6 February 2011) was a Northern Irish musician. Over the course of his career he played in various groups and performed a range of music including blues, blues rock, hard rock, heavy metal, and jazz fusion.
</p><p>Influenced by Peter Green and Eric Clapton, Moore began his career in the late 1960s when he joined Skid Row, with whom he released two albums. After Moore left the group he joined Thin Lizzy, featuring his former Skid Row bandmate and frequent collaborator Phil Lynott. Moore began his solo career in the 1970s and achieved major success with 1978's ""Parisienne Walkways"", which is considered his signature song. During the 1980s, Moore transitioned into playing hard rock and heavy metal with varying degrees of international success. In 1990, he returned to his roots with <i>Still Got the Blues</i>, which became the most successful album of his career. Moore continued to release new music throughout his later career, collaborating with other artists from time to time. Moore died on 6 February 2011 from a heart attack while on holiday in Spain.
</p><p>Moore was often described as a virtuoso and has been cited as an influence by many other guitar players. He was voted as one of the greatest guitarists of all time on respective lists by <i>Total Guitar</i> and <i>Louder</i>. Irish singer-songwriter Bob Geldof said that ""without question, [Moore] was one of the great Irish bluesmen"". For most of his career, Moore was heavily associated with Peter Green's famed 1959 Gibson Les Paul guitar. Later he was honoured by Gibson and Fender with several signature model guitars.
</p>"
Yo Gotti,artist,,1981|5|19,Memphis,1996–present,,Yo Gotti,"<p class=""mw-empty-elt"">
</p>

<p><b>Mario Sentell Giden Mims</b> (born May 19, 1981), known professionally as <b>Yo Gotti</b>, is an American rapper, songwriter, and record executive. In 1996, Gotti released his debut album <i>Youngsta's On a Come Up</i> under the alias Lil Yo. He went on to release <i>From Da Dope Game 2 Da Rap Game</i> (2000), <i>Self-Explanatory</i> (2001), <i>Life</i> (2003), <i>Back 2 da Basics</i> (2006), <i>Live from the Kitchen</i> (2012), <i>I Am</i> (2013), <i>The Art of Hustle</i> (2016), <i>I Still Am</i> (2017), <i>Untrapped</i> (2020) and <i>CM10: Free Game</i>.
</p><p>As a record executive, he is the founder of the record label Collective Music Group, which has signed successful acts such as Moneybagg Yo, 42 Dugg, Blac Youngsta, EST Gee And Mozzy.
</p>"
MC Hammer,artist,Stanley Kirk Burrell,1962|03|30,Oakland,1985–present,,MC Hammer,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>

<p><b>Stanley Kirk Burrell</b> (born March 30, 1962), better known by his stage name <b>MC Hammer</b> (or simply <b>Hammer</b>), is an American rapper. He is known for hit songs such as ""U Can't Touch This"", ""2 Legit 2 Quit"" and ""Pumps and a Bump"", flashy dance movements, extravagant choreography and his eponymous Hammer pants. Remembered for a rapid rise to fame, Hammer has also been an entrepreneur and celebrity spokesperson.</p><p>A multi-award winner, Hammer is considered a ""forefather"" and pioneering innovator of pop rap (incorporating elements of freestyle music), and is the first hip hop artist to achieve diamond status for an album. After being labeled a sellout, and with the changing landscape of hip hop music, Hammer attempted to appeal to the rise of gangsta rap. However, due to overexposure and critical backlash, his popularity waned by the mid-1990s (which led to a highly publicized bankruptcy beginning in 1996).</p><p>Along with a Mattel doll and other merchandise, Hammer starred in a Saturday-morning cartoon called <i>Hammerman</i> in 1991. He became an ordained preacher during the late 1990s and hosted <i>M.C. Hammer and Friends</i>, a Christian ministry program on TBN. Hammer was also a dance judge on <i>Dance Fever</i> in 2003, was the co-creator of the dance website DanceJam.com, and was executive producer of his own reality show titled <i>Hammertime</i> (which aired on the A&amp;E Network during the summer of 2009).</p><p>Throughout his career, Hammer has managed his own recording business as a record label CEO. As a result, he has created and produced his own acts/music including: Ho Frat Hoo!, Oaktown's 3.5.7, Special Generation, Analise, DRS, B Angie B, Gentry Kozia and Oakland Fight Club. A part of additional record labels, he has associated, collaborated and recorded with: Psy, VMF, Tupac Shakur, Teddy Riley, Felton Pilate, Tha Dogg Pound, The Whole 9, The Hines Brother, Deion Sanders, Big Daddy Kane, BeBe &amp; CeCe Winans and Jon Gibson. Hammer signed with Suge Knight's Death Row Records in 1995.</p><p>BET ranked Hammer as the No. 7 ""Best Dancer of All Time"". <i>Vibe</i><span>'</span>s ""The Best Rapper Ever Tournament"" declared him the 17th favorite of all-time during the first round. He continues to perform concerts at music venues and appears in television advertisements, along with participating in social media and ministry/outreach functions. He is also active in community and sports activities, being interviewed locally and nationally.</p>"
Jimmy Cliff,artist,James Chambers,1944|07|30,Saint James Parish,1962–present,[[Human voice|Vocals]]|[[guitar]]|[[piano]]|[[conga]]|[[Keyboard instrument|keyboards]],Jimmy Cliff,"<p class=""mw-empty-elt"">

</p>

<p><b>James Chambers</b> OM (born 30 July 1944), known professionally as <b>Jimmy Cliff</b>, is a Jamaican ska, rocksteady, reggae and soul musician, multi-instrumentalist, singer, and actor. He is the only living reggae musician to hold the Order of Merit, the highest honour that can be granted by the Jamaican government for achievements in the arts and sciences. 
</p><p>Cliff is best known among mainstream audiences for songs such as ""Many Rivers to Cross"", ""You Can Get It If You Really Want"", ""The Harder They Come"", ""Reggae Night"", and ""Hakuna Matata"", and his covers of Cat Stevens's ""Wild World"" and Johnny Nash's ""I Can See Clearly Now"" from the film <i>Cool Runnings</i>. He starred in the film <i>The Harder They Come</i>, which helped popularize reggae around the world, and <i>Club Paradise</i>. Cliff was one of five performers inducted into the Rock and Roll Hall of Fame in 2010.
</p>"
Juelz Santana,artist,LaRon Louis James,1982|2|18,,1995–present,,Juelz Santana,"<p class=""mw-empty-elt"">
</p>


<p><b>LaRon Louis James</b> (born February 18, 1982), better known by his stage name <b>Juelz Santana</b>, is an American rapper and member of East Coast hip hop group The Diplomats, also known as Dipset. He is best known for his appearances on Cam'ron's 2002 singles, ""Oh Boy"" and ""Hey Ma"", which peaked at numbers 4 and 3 on the <i>Billboard</i> Hot 100 respectively, as well as Chris Brown's 2005 triple-platinum single, ""Run It!"", which topped the <i>Billboard</i> Hot 100 for five weeks.</p><p>His albums, <i>From Me to U</i> (2003) and <i>What the Game's Been Missing!</i> (2005) peaked at number 8 and number 9 on the <i>Billboard</i> 200 respectively, the latter containing the platinum single, ""There It Go (The Whistle Song)"".
</p><p>In December 2018, Santana was sentenced to 27 months in prison for carrying an unconcealed weapon in his bag at an airport. He was released early from prison on August 5, 2020, after serving 19 of his 27 month sentence.
</p>"
Sugar Ray Norcia,artist,Raymond Alan Norcia,1954|6|6,Stonington,Mid 1970s–present,"[[Human voice|Vocals]], [[harmonica]]",Sugar Ray Norcia,"<p><b>Sugar Ray Norcia</b> (born <b> Raymond Alan Norcia</b>, June 6, 1954, Stonington, Connecticut, United States) is an American electric and soul blues singer and harmonica player. He is best known for his work with his backing band, The Bluetones, with whom he has released seven albums since 1980.
</p>

"
Dierks Bentley,artist,,1975|11|20,Phoenix,2001–present,"Vocals, guitar, banjo",Dierks Bentley,"<p class=""mw-empty-elt"">
</p>

<p><b>Frederick Dierks Bentley</b> (<span></span>; born November 20, 1975) is an American country music singer and songwriter. In 2003, he signed to Capitol Nashville and released his eponymous debut album. Both it and its follow-up, 2005's <i>Modern Day Drifter</i>, are certified Platinum in the United States, and his third album, 2006's <i>Long Trip Alone</i>, is certified Gold. It was followed in mid-2008 by a greatest hits package. His fourth album, <i>Feel That Fire</i>, was released in February 2009, and a bluegrass album, <i>Up on the Ridge</i>, was released on June 8, 2010. His sixth album, <i>Home</i>, followed in February 2012, as did a seventh one, <i>Riser</i>, in 2014. Bentley's eighth album, titled <i>Black</i>, was released in May 2016, and his ninth, <i>The Mountain</i>, was released in June 2018. His tenth studio album will release in early 2023.</p><p>Bentley's studio albums have accounted for 27 singles on the Hot Country Songs and Country Airplay charts, of which 18 have reached No. 1: his debut single, ""What Was I Thinkin'"", ""Come a Little Closer"", ""Settle for a Slowdown"", ""Every Mile a Memory"", ""Free and Easy (Down the Road I Go)"", ""Feel That Fire"", ""Sideways"", ""Am I the Only One"", ""Home"", ""5-1-5-0"", ""I Hold On"", ""Drunk on a Plane"", ""Say You Do"", ""Somewhere on a Beach"", ""Different for Girls"", ""Woman, Amen"", ""Living"" and ""Beers on Me"". Eight more of his singles have reached the top 5.
</p>"
Panda Bear,artist,Noah Benjamin Lennox,1978|7|17,Charlottesville,1998–present,,Panda Bear (musician),"<p class=""mw-empty-elt"">
</p>

<p><b>Noah Benjamin Lennox</b> (born July 17, 1978), also known by his moniker <b>Panda Bear</b>, is an American musician, singer-songwriter, multi-instrumentalist, and co-founding member of the band Animal Collective. In addition to his work with that group, Lennox has released six solo LPs since 1999, with his influential 2007 album <i>Person Pitch</i> inspiring numerous subsequent acts. His subsequent albums <i>Tomboy</i> (2011) and <i>Panda Bear Meets the Grim Reaper</i> (2015) both reached the <i>Billboard</i> 200.
</p><p>Lennox was primarily raised in Baltimore, Maryland, where he sang tenor in his high school chamber choir, and studied piano and cello. The name ""Panda Bear"" derived from his habit of drawing pandas on his early mixtapes as a teenager. He and the other members of Animal Collective began collaborating in the late 1990s. He has also collaborated with other artists, including Daft Punk on their 2013 single ""Doin' It Right"" and Sonic Boom on the 2022 album <i>Reset</i>. Since 2004, he has lived in Lisbon, Portugal.
</p>"
