Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
,,,,,,,
George Michael,Georgios Kyriacos Panayiotou,1963|6|25,East Finchley,1981–2016,,George Michael,"<p class=""mw-empty-elt"">

</p>
<p><b>George Michael</b> (born <b>Georgios Kyriacos Panayiotou</b>; 25 June 1963 – 25 December 2016) was an English singer, songwriter and record producer. He is one of the best-selling musicians of all time, with sales of over 125 million records worldwide. Michael was known as a leading creative force in music production, songwriting, vocal performance, and visual presentation. He achieved seven number-one songs on the UK Singles Chart and eight number-one songs on the US <i>Billboard</i> Hot 100. Michael won numerous music awards, including two Grammy Awards, three Brit Awards, three American Music Awards, twelve <i>Billboard</i> Music Awards, and four MTV Video Music Awards. In 2015, he was ranked 45th in <i>Billboard</i><span>'</span>s list of the ""Greatest Hot 100 Artists of All Time"". The Radio Academy named him the most played artist on British radio during the period 1984–2004.</p><p>Born in East Finchley, Middlesex, Michael rose to fame as a member of the music duo Wham! and later embarked on a solo career. After he formed Wham! with Andrew Ridgeley in 1981, the band's first two albums, <i>Fantastic</i> (1983) and <i>Make It Big</i> (1984), reached number one on the UK Albums Chart and the US <i>Billboard</i> 200. Their hit singles included ""Wake Me Up Before You Go-Go"" and ""Last Christmas"". Establishing themselves as a global act, Wham! toured China in April 1985; the tour was the first visit to China by a Western popular music act, and it generated worldwide media coverage.</p><p>Written primarily by George Michael, the biggest chart topper by Wham!, ""Careless Whisper"", reached number one in over 20 countries, including the UK and US. Before embarking on the production of his first solo album, Michael went on to release two more number-one singles, ""A Different Corner"" and the Aretha Franklin duet ""I Knew You Were Waiting (For Me)"". Michael's debut solo album, <i>Faith</i>, was released in 1987, topping the UK Albums Chart and staying at number one on the <i>Billboard</i> 200 for 12 weeks. Globally it sold 25 million copies, and four singles from the album—""Faith"", ""Father Figure"", ""One More Try"", and ""Monkey""—reached number one on the <i>Billboard</i> Hot 100. Michael became the best-selling music artist of 1988, and <i>Faith</i> was awarded Album of the Year at the 1989 Grammy Awards. His second solo album, <i>Listen Without Prejudice Vol. 1</i> (1990), sold approximately eight million copies and was a UK number-one. It included the <i>Billboard</i> Hot 100 number-one ""Praying for Time"" and the worldwide hit ""Freedom! '90"". A 1991 live duet with Elton John, ""Don't Let the Sun Go Down on Me"", was also a transatlantic number one. Michael went on to release two more multimillion-selling albums, <i>Older</i> (1996) and <i>Patience</i> (2004).
</p><p>Outside music, Michael was an active LGBT rights campaigner and HIV/AIDS charity fundraiser. His personal life, drug use, and legal troubles made headlines during the late 1990s and 2000s, as he was arrested for public lewdness in 1998 and was arrested for multiple drug-related offences after that time. Michael came out as gay in 1998. The 2005 documentary <i>A Different Story</i> covered his career and personal life. Michael's 25 Live tour spanned three tours from 2006 to 2008. Michael fell into a coma in 2011 during a bout with pneumonia, but later recovered. He performed his final concert at London's Earls Court in 2012. Michael died of heart disease on Christmas Day in 2016, at his home in Goring-on-Thames, Oxfordshire.
</p>"
,,,,,,,
Cyndi Lauper,Cynthia Ann Stephanie Lauper,1953|6|22,New York City,1977–present,,Cyndi Lauper,"<p class=""mw-empty-elt"">
</p>
<p><b>Cynthia Ann Stephanie Lauper Thornton</b> (born June 22, 1953) is an American singer, songwriter, actress, and activist. Her career has spanned over 40 years. Her album <i>She's So Unusual</i> (1983) was the first debut album by a female artist to achieve four top-five hits on the <i>Billboard</i> Hot 100—""Girls Just Want to Have Fun"", ""Time After Time"", ""She Bop"", and ""All Through the Night""—earned Lauper the Best New Artist award at the 27th Annual Grammy Awards in 1985. Her success continued with the soundtrack for the motion picture <i>The Goonies</i> (1985) and her second record <i>True Colors</i> (1986). This album included the number one single ""True Colors"" and ""Change of Heart"", which peaked at number three. In 1989, she had a hit with ""I Drove All Night"".
</p><p>Since 1983, Lauper has released eleven studio albums and participated in many other projects. In 2010, <i>Memphis Blues</i> became <i>Billboard</i><span>'s</span> most successful blues album of the year, remaining at number one on the <i>Billboard</i> Blues Albums chart for 13 consecutive weeks. In 2013, she won the Tony Award for best original score for composing the Broadway musical <i>Kinky Boots</i>, making her the first woman to win the category by herself. The musical was awarded five other Tonys including Tony Award for Best New Musical. In 2014, Lauper was awarded the Grammy Award for Best Musical Theater Album for the cast recording. In 2016, the West End production won Best New Musical at the Olivier Awards.</p><p>Lauper has sold over 50 million records worldwide. She has won awards at the Grammys, Emmys, Tonys, the New York's Outer Critics Circle, MTV Video Music Awards (VMAs), <i>Billboard</i> Awards, and American Music Awards (AMAs). An inductee into both the Songwriters Hall of Fame and the Hollywood Walk of Fame, Lauper is one of the few singers to win three of the four major American entertainment awards (EGOT). She won the inaugural Best Female Video prize at the 1984 VMAs for ""Girls Just Want to Have Fun"".  This music video is recognized by MTV, VH1 and <i>Rolling Stone</i> as one of the greatest music videos of the era. She is featured in the Rock and Roll Hall of Fame's <i>Women Who Rock</i> exhibit. Her debut album is included in <i>Rolling Stone</i><span>'s</span> list of the 500 Greatest Albums of All Time, while ""Time After Time"" is included in VH1's list of the 100 Best Songs of the Past 25 years. VH1 has ranked Lauper No. 58 of the <i>100 Greatest Women of Rock &amp; Roll</i>.</p><p>Lauper is known for her distinctive image, featuring a variety of hair colors and eccentric clothing, and for her powerful and distinctive four-octave singing range. She has been celebrated for her humanitarian work, particularly as an advocate for LGBT rights in the United States. Her charitable efforts were acknowledged in 2013 when she was invited as a special guest to attend U.S. President Barack Obama's second inauguration.</p>"
,,,,,,,
Kendrick Lamar,Kendrick Lamar Duckworth,1987|06|17,Compton,2003–present,,Kendrick Lamar,"<p class=""mw-empty-elt"">


</p>
<p><b>Kendrick Lamar Duckworth</b> (born June 17, 1987) is an American rapper and songwriter. Known for his progressive musical styles and socially conscious songwriting, he is often considered one of the most influential hip hop artists of his generation. Born and raised in Compton, California, Lamar began his career as a teenager performing under the stage name K.Dot. He quickly garnered local attention which led to him signing a recording contract with Top Dawg Entertainment (TDE) in 2005.</p><p>After becoming a founding member of the hip hop supergroup Black Hippy, Lamar dropped his stage name and started using his first and middle names professionally. In 2011, he released his debut studio album <i>Section.80</i>, a conscious hip hop record. The album was met with positive reviews and included his debut single ""HiiiiPower"". In 2012, Lamar secured a record deal with Dr. Dre’s Aftermath Entertainment, under the aegis of Interscope Records, and released his second studio album <i>Good Kid, M.A.A.D City</i>. The West Coast and gangsta rap influenced album garnered widespread critical recognition and commercial success, while including the singles ""Swimming Pools (Drank),"" ""Backseat Freestyle,"" and ""Bitch, Don't Kill My Vibe"".</p><p>A visit to South Africa inspired Lamar’s jazz-flavored third studio album <i>To Pimp a Butterfly</i> (2015). It received universal acclaim and became his first number-one album on the <i>Billboard</i> 200. The same year, he topped the <i>Billboard</i> Hot 100 for the first time with the remix of ""Bad Blood"" by Taylor Swift. Lamar experimented with R&amp;B, pop and psychedelic soul in his fourth studio album <i>Damn</i> (2017). It spawned his first solo number-one single ""Humble"" and became the first non-classical and non-jazz work to be awarded the Pulitzer Prize for Music. Following a four-year hiatus, Lamar released his fifth studio album <i>Mr. Morale &amp; the Big Steppers</i> (2022), which served as his swan song from TDE. He has directed and produced several music videos and films with his creative partner Dave Free, with whom he founded the creative collective PGLang.
</p><p>Having sold over 70 million records in the United States alone, all of Lamar’s studio albums have been certified platinum or higher by the Recording Industry Association of America (RIAA). He has received numerous accolades throughout his career, including 17 Grammy Awards, a Primetime Emmy Award, two American Music Awards, six <i>Billboard</i> Music Awards, 11 MTV Video Music Awards, a Brit Award, and a nomination for an Academy Award. He was named MTV’s Hottest MC in the Game in 2012. In 2015, Lamar received the California State Senate’s Generational Icon Award. He has been featured in listicles such as the <i>Time</i> 100 and <i>Forbes</i> 30 Under 30. Three of his studio albums were included on <i>Rolling Stone</i>’s 2020 ranking of the 500 Greatest Albums of All Time.
</p>


"
,,,,,,,
R. Kelly,Robert Sylvester Kelly,1967|1|8,Chicago,1989–2019,,R. Kelly,"<p class=""mw-empty-elt"">


</p>
<p><b>Robert Sylvester Kelly</b> (born January 8, 1967) is an American singer, songwriter, record producer, and sex offender convicted of racketeering and multiple sex offenses.</p><p>During his recording career, Kelly sold over 75 million records worldwide, making him the most commercially successful male R&amp;B artist of the 1990s and one of the world's best-selling music artists. He won three Grammys for his song ""I Believe I Can Fly"", and was also nominated for his song ""You Are Not Alone"" recorded by Michael Jackson. Critics dubbed him ""the King of R&amp;B"" while he billed himself the ""Pied Piper of R&amp;B"".</p><p>Starting in the 1990s, journalists and alleged victims of Kelly accused him of sexually abusing young fans, including minors, and luring them into inappropriate sexual relationships. The Cook County State's Attorney indicted Kelly in 2002 on child pornography charges, but failed to convict in a resulting 2008 trial. Kelly evaded lasting consequences until the 2019 documentary television series <i>Surviving R. Kelly</i> re-examined accusations of Kelly's sexual misconduct with minors. Backlash led RCA Records to terminate their contract with Kelly. Law enforcement in New York, Chicago, and Minneapolis pursued new criminal cases against Kelly following the documentary. Kelly was arrested on federal charges in July 2019. Denied bail, Kelly has been a federal prisoner since.</p><p>
A 2021 trial in Brooklyn federal court convicted Kelly for violations of the Mann Act and racketeering. A 2022 trial in Chicago federal court convicted Kelly for three child pornography charges and three charges of enticing a minor, but acquitted him of charges of conspiracy to obstruct justice in relation to his 2008 trial. The Brooklyn court sentenced Kelly to 30 years imprisonment; his sentencing in Chicago court is slated for February 2023. As of September 2022, Kelly is an inmate of Metropolitan Correctional Center, Chicago. He continues to challenge his two convictions.</p>
"
,,,,,,,
Tom Waits,Thomas Alan Waits,1949|12|7,Whittier,1971–present,Vocals|guitar|piano|harmonium,Tom Waits,"<p class=""mw-empty-elt"">
</p>
<p><b>Thomas Alan Waits</b> (born December 7, 1949) is an American musician, composer, songwriter, and actor. His lyrics often focus on the underbelly of society and are delivered in his trademark deep, gravelly voice. He worked primarily in jazz during the 1970s, but his music since the 1980s has reflected greater influence from blues, rock, vaudeville, and experimental genres.
</p><p>Waits was born and raised in a middle-class family in California. Inspired by the work of Bob Dylan and the Beat Generation, he began singing on the San Diego folk music circuit as a young man. He relocated to Los Angeles in 1972, where he worked as a songwriter before signing a recording contract with Asylum Records. His first albums were the jazz-oriented <i>Closing Time</i> (1973) and <i>The Heart of Saturday Night</i> (1974), which reflected his lyrical interest in nightlife, poverty, and criminality. He repeatedly toured the United States, Europe, and Japan, and attracted greater critical recognition and commercial success with <i>Small Change</i> (1976), <i>Blue Valentine</i> (1978), and <i>Heartattack and Vine</i> (1980). He produced the soundtrack for Francis Ford Coppola's film <i>One from the Heart</i> (1981), and subsequently made cameo appearances in several Coppola films.
</p><p>In 1980, Waits married Kathleen Brennan, split from his manager and record label, and moved to New York City. With Brennan's encouragement and frequent collaboration, he pursued a more experimental and eclectic musical aesthetic influenced by the work of Harry Partch and Captain Beefheart. This was reflected in a series of albums released by Island Records, including <i>Swordfishtrombones</i> (1983), <i>Rain Dogs</i> (1985), and <i>Franks Wild Years</i> (1987). He continued appearing in films, notably starring in Jim Jarmusch's <i>Down by Law</i> (1986), and also made theatrical appearances. With theatre director Robert Wilson, he produced the musicals <i>The Black Rider</i> (1990) and <i>Alice</i> (1992), first performed in Hamburg. Having returned to California in the 1990s, his albums <i>Bone Machine</i> (1992), <i>The Black Rider</i> (1993), and <i>Mule Variations</i> (1999) earned him increasing critical acclaim and multiple Grammy Awards. In the late 1990s, he switched to the record label ANTI-, which released <i>Blood Money</i> (2002), <i>Alice</i> (2002), <i>Real Gone</i> (2004), and <i>Bad as Me</i> (2011).
</p><p>Despite a lack of mainstream commercial success, Waits has influenced many musicians and gained an international cult following, and several biographies have been written about him.  In 2015, he was ranked at No. 55 on <i>Rolling Stone</i><span>'s</span> ""100 Greatest Songwriters of All Time"". He was inducted into the Rock and Roll Hall of Fame in 2011.
</p>"
,,,,,,,
DMX,Earl Simmons,1970|12|18,Mount Vernon,1990–2021,Vocals,DMX,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Earl Simmons</b> (December 18, 1970 – April 9, 2021), known professionally as <b>DMX</b>, was an American rapper and actor. He began rapping in the early 1990s and released his debut album <i>It's Dark and Hell Is Hot</i> in 1998, to both critical acclaim and commercial success, selling 251,000 copies within its first week of release. DMX released his best-selling album, <i>... And Then There Was X</i>, in 1999, which included the hit single ""Party Up (Up in Here)"". His 2003 singles ""Where the Hood At?"" and ""X Gon' Give It to Ya"" were also commercially successful. He was the first artist to debut an album at No.1 five times in a row on the <i>Billboard</i> 200 charts. Overall, DMX sold over 74 million records worldwide.</p><p>DMX was featured in films such as <i>Belly</i>, <i>Romeo Must Die</i>, <i>Exit Wounds</i>, <i>Cradle 2 the Grave</i>, and <i>Last Hour</i>. In 2006, he starred in the reality television series <i>DMX: Soul of a Man</i>, which was primarily aired on the BET cable television network Never Die Alone. In 2003, he published a book of his memoirs entitled <i>E.A.R.L.: The Autobiography of DMX</i>.</p><p>DMX died on April 9, 2021, following a cocaine-induced heart attack.
</p>
<meta property=""mw:PageProp/toc"">"
,,,,,,,
Jessie J,Jessica Ellen Cornish,1988|3|27,London Borough of Redbridge,2005–present,Vocals,Jessie J,"<p class=""mw-empty-elt"">


</p>
<p><b>Jessica Ellen Cornish</b> (born 27 March 1988), known professionally as <b>Jessie J</b>, is an English singer. Born and raised in London, she began her career on stage, aged 11, with a role in the West End musical <i>Whistle Down the Wind</i>. She studied at the BRIT School before signing with Gut Records and striking a songwriting deal with Sony/ATV Music Publishing.
</p><p>After signing with Republic Records, Jessie J came to prominence following the release of her debut single, ""Do It Like a Dude"". Her following single, ""Price Tag"", topped the charts in nineteen countries including the UK and was followed by the release of her debut album, <i>Who You Are</i> (2011), which peaked at number two in the UK. Other singles from the album included ""Nobody's Perfect"", ""Who You Are"", ""Domino"" and ""Laserlight"", all of which peaked within the top ten on the UK Singles Chart, making Jessie J the first British female artist to have six top-ten singles from a sole studio album. ""Domino"" also attained further international success, peaking at number six on the US <i>Billboard</i> Hot 100 and becoming her second number-one single in the UK. In 2012, Jessie J performed at the Queen's Diamond Jubilee Concert outside Buckingham Palace in June, as well as the closing ceremony of the 2012 Olympic Games in London on 12 August.
</p><p>Her second album, <i>Alive</i> (2013), peaked within the top five on the UK Albums Chart and also included the top-five singles ""Wild"" and ""It's My Party"". The release of her third album, <i>Sweet Talker</i> (2014), was preceded by the single ""Bang Bang"" which debuted at number one in the UK and went multi-platinum worldwide. The album made the top five in the UK and peaked at number ten on the US <i>Billboard</i> 200, her highest-charting album in the US. As of January 2015, Jessie J had sold over 20 million singles and 3 million albums worldwide.</p><p>Citing various influences, Jessie J is recognised for an unconventional musical and performance style that mixes soul vocals with contemporary R&amp;B, pop, electropop, and hip-hop beats. She has received various accolades throughout her career, including the 2011 Critics' Choice Brit Award and the BBC's Sound of 2011. Jessie J has supported various charitable causes, and has appeared on the UK charity telethons BBC Children in Need and Comic Relief. She has served as a coach on the competition series <i>The Voice UK</i>, <i>The Voice Australia</i> and <i>The Voice Kids UK</i>. In 2018, Jessie J received widespread recognition in China following her appearance in the Hunan TV reality program <i>Singer</i> (previously called <i>I Am a Singer</i>).
</p>"
,,,,,,,
James Morrison,James Morrison Catchpole,1984|8|13,Rugby,2006–present,"Vocals, guitar, piano",James Morrison (singer),"<p class=""mw-empty-elt"">

</p>

<p><b>James Morrison Catchpole</b> (born 13 August 1984) is an English singer, songwriter and guitarist. In 2006, his debut single ""You Give Me Something"" became a hit in Europe, Australia, Japan and Iran, peaking in the top five in the UK and claiming the No. 1 spot in New Zealand. His debut album, <i>Undiscovered</i> (2006), debuted at the top of the UK Albums Chart. In 2007, Morrison won the Brit Award for Best British Male.</p><p>In 2008, Morrison released his second album, <i>Songs for You, Truths for Me,</i> which entered the top five in the UK as well as topping the Irish Albums Chart. <i>Songs for You, Truths for Me</i> featured the top 10 singles ""You Make It Real"" and his critically acclaimed collaboration with Nelly Furtado titled ""Broken Strings"". Morrison is also a songwriter for other artists, having written for of Demi Lovato, Olly Murs, Kelly Clarkson, and Clay Aiken. In 2010, he wrote a song for Italian singer Marco Carta entitled ""Quello che dai"", which debuted at number one in Italy's chart.
</p>"
,,,,,,,
Big Sean,Sean Michael Leonard Anderson,1988|3|25,Santa Monica,2007–present,,Big Sean,"<p class=""mw-empty-elt"">

</p>

<p><b>Sean Michael Leonard Anderson</b> (born March 25, 1988), known professionally as <b>Big Sean</b>, is an American rapper. Anderson began his music career in 2007 and gained popularity in 2010 with his third mixtape <i>Finally Famous Vol. 3: Big</i>. He then signed a recording contract with GOOD Music and Def Jam Recordings and released his debut studio album, <i>Finally Famous</i> in 2011, which included the US top 10 single ""Dance (Ass)"" (featuring Nicki Minaj). Anderson followed it with his second album, <i>Hall of Fame</i> (2013), while his third album, <i>Dark Sky Paradise</i> (2015), debuted atop the US <i>Billboard</i> 200. It also included the hit singles ""I Don't Fuck with You"" (featuring E-40) and ""Blessings"" (featuring Drake). His fourth album, <i>I Decided</i> (2017), contained ""Bounce Back"", his highest-charting US single, while his fifth album <i>Detroit 2</i> (2020) was his third consecutive platinum album.
</p>


"
,,,,,,,
Chuck Berry,Charles Edward Anderson Berry,1926|10|18,St. Louis,1953–2016,Guitar|vocals,Chuck Berry,"<p class=""mw-empty-elt"">


</p>
<p><b>Charles Edward Anderson Berry</b> (October 18, 1926 – March 18, 2017) was an American singer, songwriter and guitarist who pioneered rock and roll. Nicknamed the ""Father of Rock and Roll"", he refined and developed rhythm and blues into the major elements that made rock and roll distinctive with songs such as ""Maybellene"" (1955), ""Roll Over Beethoven"" (1956), ""Rock and Roll Music"" (1957) and ""Johnny B. Goode"" (1958). Writing lyrics that focused on teen life and consumerism, and developing a music style that included guitar solos and showmanship, Berry was a major influence on subsequent rock music.</p><p>Born into a middle-class black family in St. Louis, Berry had an interest in music from an early age and gave his first public performance at Sumner High School. While still a high school student, he was convicted of armed robbery and was sent to a reformatory, where he was held from 1944 to 1947. After his release, Berry settled into married life and worked at an automobile assembly plant. By early 1953, influenced by the guitar riffs and showmanship techniques of the blues musician T-Bone Walker, Berry began performing with the Johnnie Johnson Trio. His break came when he traveled to Chicago in May 1955 and met Muddy Waters, who suggested he contact Leonard Chess, of Chess Records. With Chess, he recorded ""Maybellene""—Berry's adaptation of the country song ""Ida Red""—which sold over a million copies, reaching number one on <i>Billboard</i> magazine's rhythm and blues chart.</p><p>By the end of the 1950s, Berry was an established star, with several hit records and film appearances and a lucrative touring career. He had also established his own St. Louis nightclub, Berry's Club Bandstand. He was sentenced to three years in prison in January 1962 for offenses under the Mann Act—he had transported a 14-year-old girl across state lines for the purpose of having sexual intercourse. After his release in 1963, Berry had several more successful songs, including ""No Particular Place to Go"", ""You Never Can Tell"", and ""Nadine"". However, these did not achieve the same success or lasting impact of his 1950s songs, and by the 1970s he was more in demand as a nostalgia performer, playing his past material with local backup bands of variable quality. In 1972 he reached a new level of achievement when a rendition of ""My Ding-a-Ling"" became his only record to top the charts. His insistence on being paid in cash led in 1979 to a four-month jail sentence and community service, for tax evasion.
</p><p>Berry was among the first musicians to be inducted into the Rock and Roll Hall of Fame on its opening in 1986; he was cited for having ""laid the groundwork for not only a rock and roll sound but a rock and roll stance."" Berry is included in several of <i>Rolling Stone</i> magazine's ""greatest of all time"" lists; he was ranked fifth on its 2004 and 2011 lists of the 100 Greatest Artists of All Time. The Rock and Roll Hall of Fame's 500 Songs That Shaped Rock and Roll includes three of Berry's: ""Johnny B. Goode"", ""Maybellene"", and ""Rock and Roll Music"". ""Johnny B. Goode"" is the only rock-and-roll song included on the Voyager Golden Record.</p>"
,,,,,,,
Hans Zimmer,Hans Florian Zimmer,1957|9|12,Frankfurt,1977–present,,Hans Zimmer,"<p class=""mw-empty-elt"">
</p>

<p><b>Hans Florian Zimmer</b> (<small>German pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""de-Latn-fonipa"">[ˈhans ˈfloːʁi̯aːn ˈtsɪmɐ]</span> <span></span>; born 12 September 1957) is a German film score composer and music producer. He has won two Oscars and four Grammys, and has been nominated for two Emmys and a Tony. Zimmer was also named on the list of Top 100 Living Geniuses, published by <i>The Daily Telegraph</i>.</p><p>His works are notable for integrating electronic music sounds with traditional orchestral arrangements. Since the 1980s, Zimmer has composed music for over 150 films. He has won two Academy Awards for Best Original Score for <i>The Lion King</i> (1994), and <i>Dune</i> (2021). His works include <i>Gladiator</i>, <i>The Last Samurai</i>, the <i>Pirates of the Caribbean</i> series, <i>The Dark Knight</i> trilogy, <i>Inception</i>, <i>Man of Steel</i>, <i>Interstellar</i> and <i>Dunkirk</i>.
</p><p>Zimmer spent the early part of his career in the United Kingdom before moving to the United States. He is the head of the film music division at DreamWorks Pictures and DreamWorks Animation studios and works with other composers through the company that he founded, Remote Control Productions, formerly known as Media Ventures. His studio in Santa Monica, California has an extensive range of computer equipment and keyboards, allowing demo versions of film scores to be created quickly.</p>"
,,,,,,,
Imogen Heap,Imogen Jennifer Heap,1977|12|9,Romford,1995–present,Vocals|piano|cello|clarinet|guitar|drums|[[array mbira]]|[[Hang (instrument)|Hang]],Imogen Heap,"<p class=""mw-empty-elt"">

</p>
<p><b>Imogen Jennifer Heap</b> (born 9 December 1977) is a British musician, singer, songwriter and record producer. Her work has been considered pioneering in pop and electropop music.
</p><p>Heap classically trained in piano, cello and clarinet starting at a young age. She began writing songs at the age of 13 and, while attending boarding school, taught herself music production. After being discovered by manager Mickey Modern while attending the BRIT School, Heap signed to independent record label Almo Sounds at the age of 18 and later began working with experimental pop band Acacia. She released her debut album, an alternative rock record, <i>I Megaphone</i>, in 1998. In early 2002, Heap and English record producer Guy Sigsworth formed the electronic duo Frou Frou and released their only album to date, <i>Details</i> (2002).
</p><p>Her second studio album, <i>Speak for Yourself</i>, was released in 2005 on her own label, Megaphonic Records, and was certified gold in the United States and Canada. The album spawned three singles: ""Headlock"", ""Goodnight and Go"", which became her highest-charting single as a lead artist on the UK Singles Chart, and ""Hide and Seek"", which was certified gold in the United States and gained popularity after being used in the Fox teen drama television series <i>The O.C.</i>. Heap's third studio album, <i>Ellipse</i> (2009), peaked in the top five of the <i>Billboard</i> 200 chart and received mostly positive reviews. This was followed by her fourth studio album, <i>Sparks</i> (2014). In 2017, she reunited with Sigsworth as part of Frou Frou.
</p><p>Heap developed the Mi.Mu Gloves, a line of musical gloves, as well as a blockchain-based music-sharing program, Mycelia. She also composed the music for the West End/Broadway play <i>Harry Potter and the Cursed Child</i>. Over the course of her career, she has received two Grammy Awards, one Ivor Novello Award, and one Drama Desk Award. In July 2019, Heap was awarded an honorary doctorate from Berklee College of Music.</p>"
,,,,,,,
Nick Drake,Nicholas Rodney Drake,1948|6|19,Yangon,1967–1974,"Vocals, guitar, piano, clarinet, saxophone",Nick Drake,"<p class=""mw-empty-elt"">
</p>

<p><b>Nicholas Rodney Drake</b> (19 June 1948 – 25 November 1974) was an English singer-songwriter known for his acoustic guitar-based songs. He did not find a wide audience during his lifetime, but his work gradually achieved wider notice and recognition. Drake signed to Island Records when he was 20 years old and a student at the University of Cambridge. He released his debut album, <i>Five Leaves Left</i>, in 1969. He recorded two more albums—<i>Bryter Layter</i> (1971) and <i>Pink Moon</i> (1972). Neither sold more than 5,000 copies on initial release. His reluctance to perform live, or be interviewed, contributed to his lack of commercial success. There is no known video footage of the adult Drake; he was only ever captured in still photographs and in home footage from his childhood.</p><p>Drake experienced depression, particularly during the latter part of his life, a fact often reflected in his lyrics. On completion of his third album, 1972's <i>Pink Moon</i>, he withdrew from both live performance and recording, retreating to his parents' home in rural Warwickshire. On 25 November 1974, Drake died from an overdose of a prescribed antidepressant; he was 26 years old. Whether his death was an accident or suicide has not been resolved.
</p><p>Drake's music remained available through the mid-1970s, but the 1979 release of the retrospective album <i>Fruit Tree</i> allowed his back catalogue to be reassessed. By the mid-1980s, Drake was being credited as an influence by such artists as Robert Smith of The Cure and Peter Buck of R.E.M. In 1985, The Dream Academy reached the UK and US charts with ""Life in a Northern Town"", a song written for and dedicated to Drake. By the early 1990s, he had come to represent a certain type of ""doomed romantic"" musician in the UK music press and was frequently cited as an influence by artists including Kate Bush, Paul Weller, Aimee Mann, Beck, Robyn Hitchcock and The Black Crowes. Drake's first biography appeared in 1997, followed in 1998 by the documentary film <i>A Stranger Among Us</i>.
</p>"
,,,,,,,
Colbie Caillat,Colbie Marie Caillat,1985|5|28,Malibu,2004–present,Vocals|piano|guitar,Colbie Caillat,"<p class=""mw-empty-elt"">
</p>
<p><b>Colbie Marie Caillat</b> (<span> <span></span></span> <i title=""English pronunciation respelling""><span>KOHL</span>-bee kə-<span>LAY</span></i>; born May 28, 1985) is an American singer-songwriter. She rose to fame through social networking website Myspace. At that time, she was the number one unsigned artist of her genre.
</p><p>After signing with Universal Republic Records, she released her debut album, <i>Coco</i>, in July 2007. The album included the hit singles ""Bubbly"" and ""Realize"", and has sold 2,060,000 copies in the US, and is certified 2× Platinum. In 2008, she recorded a duet with Jason Mraz, ""Lucky"", which won a Grammy Award. In August 2009 she released <i>Breakthrough</i>, her second album, which became her first album to debut at number one on the <i>Billboard</i> 200. It has been certified gold by the RIAA. <i>Breakthrough</i> was nominated for Best Pop Vocal Album at the 2010 Grammy Awards. She was also part of the group that won Album of the Year at the 2010 Grammy Awards for her featured vocals and writing on Taylor Swift's <i>Fearless</i> album. In July 2011, she released her third studio album, <i>All of You</i>. In October 2012 she released her first Christmas album, <i>Christmas in the Sand</i>. From 2018 to 2020, she was a member of the country music group Gone West.
</p><p>Caillat has sold over six million albums worldwide and over 10 million singles. In 2009 she was named <i>Billboard</i> magazine's 94th-best-selling music artist of the 2000s.</p>"
,,,,,,,
Otis Redding,Otis Ray Redding Jr.,1941|9|9,Dawson,1958–1967,,Otis Redding,"<p class=""mw-empty-elt"">
</p>

<p><b>Otis Ray Redding Jr.</b> (September 9, 1941 – December 10, 1967) was an American singer and songwriter. He is regarded as one of the greatest singers in the history of American popular music and a seminal artist in soul music and rhythm and blues. Nicknamed the ""King of Soul"", Redding's style of singing gained inspiration from the gospel music that preceded the genre. His singing style influenced many other soul artists of the 1960s.
</p><p>Redding was born in Dawson, Georgia, and at age two, moved to Macon. Redding quit school at age 15 to support his family, working with Little Richard's backing band, the Upsetters, and by performing in talent shows at the historic Douglass Theatre in Macon. In 1958, he joined Johnny Jenkins's band, the Pinetoppers, with whom he toured the Southern states as a singer and driver. An unscheduled appearance on a Stax recording session led to a contract and his first hit single, ""These Arms of Mine"", in 1962.
</p><p>Stax released Redding's debut album, <i>Pain in My Heart</i>, two years later. Initially popular mainly with African-Americans, Redding later reached a wider American pop music audience. Along with his group, he first played small shows in the American South. Redding later performed at the popular Los Angeles night club Whisky a Go Go and toured Europe, performing in London, Paris and other major cities. He also performed at the Monterey Pop Festival in 1967.
</p><p>Shortly before his death in a plane crash, Redding wrote and recorded his iconic ""(Sittin' On) The Dock of the Bay"" with Steve Cropper. The song became the first posthumous number-one record on both the <i>Billboard</i> Hot 100 and R&amp;B charts. The album <i>The Dock of the Bay</i> was the first posthumous album to reach number one on the UK Albums Chart. Redding's premature death devastated Stax. Already on the verge of bankruptcy, the label soon discovered that the Atco division of Atlantic Records owned the rights to his entire song catalog.
</p><p>Redding received many posthumous accolades, including two Grammy Awards, the Grammy Lifetime Achievement Award and induction into the Rock and Roll Hall of Fame, the Black Music &amp; Entertainment Walk of Fame. and the Songwriters Hall of Fame. In addition to ""(Sittin' On) The Dock of the Bay"", ""Respect"" and ""Try a Little Tenderness"" are among his best-known songs.
</p>"
,,,,,,,
