Band,Type,Origin,Years Active,Page Title,Summary
The Mountain Goats,band,Claremont,1991–present,The Mountain Goats,"<p><b>The Mountain Goats</b> are an American band formed in Claremont, California, by singer-songwriter John Darnielle. The band is currently based in Durham, North Carolina. For many years, the sole member of the Mountain Goats was Darnielle, despite the plural moniker. Although he remains the core member of the band, he has worked with a variety of collaborators over time, including bassist and vocalist Peter Hughes, drummer Jon Wurster, multi-instrumentalist Matt Douglas, singer-songwriter Franklin Bruno, bassist and vocalist Rachel Ware, singer-songwriter/producer John Vanderslice, guitarist Kaki King, and multi-instrumentalist Annie Clark.</p><p>Throughout the 1990s, the Mountain Goats were known for producing low-fidelity home recordings (most notably, on a cassette deck boombox) and releasing recordings in cassette or vinyl 7-inch formats.  Since 2002, the Mountain Goats have adopted a more polished approach, often recording studio albums with a full band.</p>

"
Harry Nilsson,band,Los Angeles,1958–1992,Harry Nilsson,"<p class=""mw-empty-elt"">
</p>

<p><b>Harry Edward Nilsson III</b> (June 15, 1941 – January 15, 1994), sometimes credited as <b>Nilsson</b>, was an American singer-songwriter who reached the peak of his commercial success in the early 1970s. His work is characterized by pioneering vocal overdub experiments, returns to the Great American Songbook, and fusions of Caribbean sounds. A tenor with a <span role=""math"">3<span>+</span><span>1</span>⁄<span>2</span></span> octave range, Nilsson was one of the few major pop-rock recording artists to achieve significant commercial success without ever performing major public concerts or undertaking regular tours.</p><p>Born in Brooklyn, Nilsson moved to Los Angeles as a teenager to escape his family's poor financial situation. While working as a computer programmer at a bank, he grew interested in musical composition and close-harmony singing, and was successful in having some of his songs recorded by various artists such as the Monkees. In 1967, he debuted on RCA Victor with the LP <i>Pandemonium Shadow Show</i>, followed by a variety of releases that included a collaboration with Randy Newman (<i>Nilsson Sings Newman</i>, 1970) and the original children's story <i>The Point!</i> (1971). He created the first remix album (<i>Aerial Pandemonium Ballet</i>, 1971) and recorded the first mashup song (""You Can't Do That"", 1967). His most commercially successful album, <i>Nilsson Schmilsson</i> (1971), produced the international top 10 singles ""Without You"" and ""Coconut"". His other top 10 hit, ""Everybody's Talkin'"" (1968), was featured prominently in the 1969 film <i>Midnight Cowboy</i>. A version of Nilsson's ""One"", released by Three Dog Night in 1969, also reached the U.S. top 10.</p><p>During a 1968 press conference, the Beatles were asked what their favorite American group was and answered ""Nilsson"". Sometimes called ""the American Beatle"", he soon formed close friendships with John Lennon and Ringo Starr. In the 1970s, Nilsson, Lennon and Starr were members of the Hollywood Vampires drinking club. They produced one collaborative album, <i>Pussy Cats</i> (1974). After 1977, Nilsson left RCA, and his record output diminished. In response to Lennon's 1980 murder, he took a hiatus from the music industry to campaign for gun control. For the rest of his life, he recorded only sporadically. In 1994, Nilsson died of a heart attack while in the midst of recording what became his last album, <i>Losst and Founnd</i> (2019).
</p><p>The craft of Nilsson's songs and defiant attitude he projected remain touchstones for later generations of indie rock musicians. Nilsson was voted No. 62 in <i>Rolling Stone</i><span>'</span>s 2015 list of the ""100 Greatest Songwriters of All Time"", where he was described as ""a pioneer of the Los Angeles studio sound"" and ""a crucial bridge"" between 1960s psychedelia and the 1970s singer-songwriter era. The RIAA certified <i>Nilsson Schmilsson</i> and <i>Son of Schmilsson</i> (1972) as gold records, indicating over 500,000 units sold each. He earned two Grammy Awards (for ""Everybody's Talkin'"" and ""Without You"").
</p>"
Le Tigre,band,New York City,,Le Tigre,"<p><b>Le Tigre</b> (<span></span>, <small>French pronunciation: ​</small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""fr-Latn-fonipa"">[lə tiɡʁ]</span>; French for ""The Tiger"") is an American electronic rock band formed by Kathleen Hanna (of Bikini Kill), Johanna Fateman and Sadie Benning in 1998 in New York City. Benning left in 2000 and was replaced by JD Samson for the rest of the group's existence. They mixed punk's directness and politics with playful samples, eclectic pop, and lo-fi electronics. The group also added multimedia and performance art elements to their live shows, which often featured support from like-minded acts such as the Need.</p>"
God Is an Astronaut,band,County Wicklow,2002–present,God Is an Astronaut,"<p class=""mw-empty-elt"">
</p>
<p><b>God Is an Astronaut</b> are an Irish post-rock band from County Wicklow, formed in 2002 by Niels and Torsten Kinsella. Their style employs elements of electronic music, krautrock, and space rock, reminiscent of Tangerine Dream. The band currently consists of Niels and Torsten Kinsella, Lloyd Hanney, and Jamie Dean. They have released eleven studio albums to date.
</p>

"
Madvillain,band,"United States
",2002–2020,Madvillain,"<p><b>Madvillain</b> was an American hip hop duo consisting of two MCs and producers, MF Doom and Madlib. Their only album, <i>Madvillainy</i>, earned critical acclaim and cult popularity, widely regarded as one of the greatest rap albums of all time and a benchmark record for alternative hip hop. Their intricate rhymes and lyrics, short song structures and use of obscure, stylistically diverse samples made for a sound that was generally unfriendly to commercial radio but was lauded for its influence on underground rap. A follow-up album to <i>Madvillainy</i> was rumored to be in production at various times since the late 2000s, but no further original material has surfaced from the duo since 2010, and MF Doom's death in 2020 has left the future of the project uncertain.
</p>"
They Might Be Giants,band,Brooklyn,1982–present,They Might Be Giants,"<p class=""mw-empty-elt"">
</p>
<p><b>They Might Be Giants</b> (often abbreviated as <b>TMBG</b>) is an American alternative rock band formed in 1982 by John Flansburgh and John Linnell. During TMBG's early years, Flansburgh and Linnell frequently performed as a duo, often accompanied by a drum machine. In the early 1990s, TMBG expanded to include a backing band. The duo has been credited as vital in the creation and growth of the prolific DIY music scene in Brooklyn in the mid-1980s; the duo's current backing band consists of Marty Beller, Dan Miller and Danny Weinkauf.
</p><p>The group have been noted for their unique style of alternative music, typically using surreal, humorous lyrics, experimental styles and unconventional instruments in their songs. Over their career, they have found success on the modern rock and college radio charts. They have also found success in children's music with several educational albums, and in theme music for television programs and films.
</p><p>TMBG have released 23 studio albums. <i>Flood</i> has been certified platinum, while their children's music albums <i>Here Come the ABCs</i>, <i>Here Come the 123s</i>, and <i>Here Comes Science</i> have all been certified gold. The group has won two Grammy Awards. They were nominated for a Tony Award for Best Original Score (Music and/or Lyrics) Written for the Theatre for <i>SpongeBob SquarePants: The Broadway Musical</i>. In total, the group has sold over 4 million records.</p>"
Eve 6,band,La Crescenta-Montrose,1995–2004|2007–present,Eve 6,"<p class=""mw-empty-elt"">
</p>
<p><b>Eve 6</b> is an American rock band formed in 1995 in Southern California, best known for their hit singles ""Inside Out"" and ""Here's to the Night"". They disbanded in 2004, returned for numerous tours in 2007 with a new lineup, and finally reunited with all three original members in early 2011. They signed to Fearless Records in the spring of that year, and released their fourth album <i>Speak in Code,</i> containing the singles ""Victoria"" and ""Curtain,"" in April 2012. In 2021, they released a new EP, <i>Grim Value</i>, and in 2022, they released a full-length album on Velocity Records titled <i>Hyper Relevisation':.</i>
</p>"
Something Corporate,band,Santa Monica,"1998–2006, 2010",Something Corporate,"<p><b>Something Corporate</b> (also known as <i>SoCo</i>) was an American rock band from Orange County, California, formed in 1998. Their last line-up included vocalist and pianist Andrew McMahon, guitarists Josh Partington and Bobby Anderson, bassist Kevin Page and drummer Brian Ireland.
</p><p>Following their formation, Something Corporate recorded demos that were eventually released as an independent, studio album entitled <i>Ready... Break</i>. Soon after, they were signed to MCA Records but were released under the Drive-Thru Records banner for their debut EP <i>Audioboxer</i>.  Their first single, ""If You C Jordan"", was their most successful, peaking at number 29 on the Alternative Songs chart. Their first album released through the major label was <i>Leaving Through the Window</i> (2002) which premiered at  Number 1/Hot Shot Debut on the Billboard<i> Top Heatseekers</i> chart on June 8, 2002 and eventually peaked at number 101 on the <i>Billboard</i> 200.
</p><p>Something Corporate went on hiatus in 2004 and no longer had any recording contracts with their record labels. During the hiatus, McMahon found success in his side-project Jack's Mannequin. Something Corporate briefly reunited in October 2006 (at a Jack's Mannequin show) to play a short set. In December 2009, Something Corporate officially announced their reunion to tour in 2010 and released a greatest hits album. McMahon announced during an August 3, 2010, visit to Milwaukee that the band had collectively sold over 1 million total records in the band's ten years of existence. On September 9, 2022 the band reunited to play a surprise show for McMahon’s 40th birthday at House of Blues in Anaheim, CA.
</p>"
The Go! Team,band,Brighton,2000–present,The Go! Team,"<p><b>The Go! Team</b> are an English six-piece band from Brighton, England. The band initially began as a solo project conceived by Ian Parton; however, after the unexpected success of The Go! Team's debut album, <i>Thunder, Lightning, Strike</i>, Parton recruited band members to play for live performances and subsequent albums. Musically, the band combines indie rock and garage rock with a mixture of funk and Bollywood soundtracks, double Dutch chants, old school hip hop and distorted guitars. Their songs are a mix of live instrumentation and samples from various sources. The band's vocals also vary between performances: while live vocals are handled mostly by lead vocalist Ninja, vocals on record also feature sampled and guest voices.
</p>
"
Say Anything,band,Los Angeles,"2000–2018 (hiatus), 2022-present",Say Anything (band),"<p><b>Say Anything</b> is an American rock band from Los Angeles, California. The band was formed in 2000 by Max Bemis and his friends, and within two years, self-released two EPs and a full-length album.
</p><p>In 2003, the band signed with their first label, Doghouse Records. A year later, they released their second album, <i>...Is a Real Boy</i>. To support the album, they picked up new members and began touring; however, despite rapidly growing critical and fan acclaim, Bemis' health problems, including bipolar disorder and drug addictions, sidelined the band in 2005 as five band members left during the year.
</p><p>Say Anything signed with J Records in 2005 and, following Bemis' successful rehabilitation, re-released <i>...Is a Real Boy</i> with their new label. They went on co-headlining tours with Saves the Day in 2006 and Hellogoodbye in 2007. In 2008, Say Anything went on a headlining tour across the US and UK and appeared on every date of Warped Tour.
</p><p>Bemis announced the end of the band in 2018, months before the 2019 release of their eighth LP, <i>Oliver Appropriate</i>.
</p><p>On Tuesday, October 11th, 2022, Bemis shared through Instagram that the band would be performing at the When We Were Young Festival in 2023.
</p>"
Minus the Bear,band,Seattle,2001–2018,Minus the Bear,"<p class=""mw-empty-elt"">
</p>
<p><b>Minus the Bear</b> was an American indie rock band formed in Seattle, Washington, in 2001, and comprising members of Botch, Kill Sadie, and Sharks Keep Moving. Their sound was described as ""Pele-esque guitar-taps and electronics with sophisticated time signature composition.""</p><p>Minus the Bear released six albums and four EPs. The band's final line-up consisted of Jake Snider (vocals, guitar), Dave Knudson (guitar), Cory Murchy (bass guitar), and Alex Rose (synthesizers, vocals). On July 17, 2018, the band announced their retirement and accompanying farewell tour. Their final live performance was December 16, 2018, at The Showbox in Seattle.
</p>"
HAIM,band,San Fernando Valley,2007–present,Haim (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Haim</b> (<span></span> <i title=""English pronunciation respelling""><span>HY</span>-im</i>; meaning ""life"" in Hebrew, stylized <b>HAIM</b>) is an American rock band, based in Los Angeles and comprising three sisters, Este (bass guitar and vocals), Danielle (lead vocals, guitar, and drums), and Alana Haim (guitars, keyboards, and vocals). In addition to their primary instruments, each is proficient in several others. The group's pop sound on their studio work stands in contrast to the more rock-oriented sound of their live shows.
</p><p>The sisters grew up in a musical family, and began playing instruments from an early age in the cover band Rockinhaim, fronted by their parents, Moti and Donna. The two elder sisters, Este and Danielle, performed briefly with the pop group Valli Girls in 2005, releasing a few songs on soundtrack and compilation albums under that name. In 2007, they formed Haim with younger sister Alana, but did not seriously consider it a professional career for some years. After Danielle became a successful touring guitarist, first with Jenny Lewis and later with Julian Casablancas, Haim reformed as a full-time operation in 2012.
</p><p>The group's first release, <i>Forever</i> (an EP released as a limited-time download), combined with positive reception at the South by Southwest festival, led to a deal with Polydor Records and a management deal with Jay-Z's Roc Nation group in mid-2012. The band began recording material for their first album, <i>Days Are Gone</i> (2013), in sessions between touring dates, including appearances at the Glastonbury Festival. The album charted in the top ten in several countries, including the number-one spot in the UK, and the group had won several ""best of"" awards by the end of 2013. The group was nominated for Best New Artist at the 57th Annual Grammy Awards. Their second album, <i>Something to Tell You</i>, was released in July 2017. Their third album, titled <i>Women in Music Pt. III</i>, was released in June 2020. The group received nominations at the 63rd Annual Grammy Awards for Album of the Year (for <i>Women in Music Pt. III</i>) and Best Rock Performance (for ""The Steps"").
</p>"
Jonas Brothers,band,Wyckoff,2005–2013|2019–present,Jonas Brothers,"<p class=""mw-empty-elt"">

</p>
<p>The <b>Jonas Brothers</b> (<span></span>) are an American pop rock band. Formed in 2005, they gained popularity from their appearances on the Disney Channel television network. They consist of three brothers: Kevin Jonas, Joe Jonas, and Nick Jonas. Raised in Wyckoff, New Jersey, the Jonas Brothers moved to Little Falls, New Jersey, in 2005, where they wrote their first record that made its Hollywood Records release. They starred in the 2008 Disney Channel Original Movie <i>Camp Rock</i> and its 2010 sequel, <i>Camp Rock 2: The Final Jam</i>. They also starred in their own Disney Channel series <i>Jonas</i>, which was rebranded as <i>Jonas L.A.</i> for its second season. The band have released five albums: <i>It's About Time</i> (2006), <i>Jonas Brothers</i> (2007), <i>A Little Bit Longer</i> (2008), <i>Lines, Vines and Trying Times</i> (2009), and <i>Happiness Begins</i> (2019).
</p><p>In 2008, the group was nominated for the Best New Artist award at the 51st Grammy Awards and won the award for Breakthrough Artist at the American Music Awards. Before the release of <i>Lines, Vines and Trying Times</i>, they had sold over eight million albums worldwide. After a hiatus between 2010 and 2011 to pursue solo projects, the group reunited in 2012 to record a new album, which was cancelled following their break-up on October 29, 2013.
</p><p>They have sold over 17 million albums worldwide as of 2013. Six years following their split, the group reunited with the release of ""Sucker"" on March 1, 2019. The song became the 34th song in history to debut at number one on the <i>Billboard</i> Hot 100, and became the Jonas Brothers' first number one single on the chart. Their fifth studio album, <i>Happiness Begins,</i> was released on June 7, 2019, topping the US <i>Billboard</i> 200.</p>"
The Head and the Heart,band,Seattle,2009–present,The Head and the Heart,"<p class=""mw-empty-elt"">

</p>
<p><b>The Head and the Heart</b> is an American indie folk band. They were formed in the summer of 2009 by Josiah Johnson (vocals, guitar, percussion) and Jonathan Russell (vocals, guitar, percussion). The band also includes Charity Rose Thielen (violin, guitar, vocals), Chris Zasche (bass), Kenny Hensley (piano), and Tyler Williams (drums). The band is signed to Warner Bros. Records and have released five albums. Their fifth and most recent studio album, <i>Every Shade of Blue</i>, was released April 29, 2022.
</p>

"
Funeral for a Friend,band,Bridgend,"2001–2016, 2019–present",Funeral for a Friend,"<p class=""mw-empty-elt"">

</p>
<p><b>Funeral for a Friend</b> are a Welsh rock band from Bridgend, formed in 2001 and currently consists of Matthew Davies-Kreye (lead vocals), Kris Coombs-Roberts (guitar, backing vocals), Gavin Burrough (guitar, backing vocals), Darran Smith (guitar), Richard Boucher (bass), and Ryan Richards (drums, vocals).
</p><p>Funeral for a Friend's popularity rose in the United Kingdom with the release of their debut album, <i>Casually Dressed &amp; Deep in Conversation</i> (2003). Achieving both a gold certification and three top-twenty singles in their home country, <i>Casually Dressed &amp; Deep in Conversation</i> is often acclaimed as one of the landmark emo records of the 2000s. <i>Hours</i> (2005) featured a similar musical style to their debut, but also featured more melodic sensibilities, and <i>Tales Don't Tell Themselves</i> (2007) showed an evolution in Funeral for a Friend's musical style from that which defined their debut, as the group began to diverge from their use of screaming vocals and post-hardcore-influenced guitars, favoring a more melodic rock influence. These albums achieved gold and silver sales certificates respectively in the UK.
</p><p>Funeral for a Friend self-released their fourth album, <i>Memory and Humanity</i> (2008) through their short-lived record label <i>Join Us</i>, the album arguably being their most eclectic to date. Following this the band tied themselves to other independent labels for <i>Welcome Home Armageddon</i> (2011)  <i>Conduit</i> (2013), and <i>Chapter and Verse</i> (2015), which showed the band returning to the heavier style of their earlier work. In September 2015, they announced their break-up and final tour in 2016. On 21 May 2016, they played their last performance to a sold-out Forum in London.
</p><p>In October 2019, Funeral for a Friend reunited as a live band, initially for three benefit shows – two in Cardiff at the Cardiff University Student Union followed by one in London at Shepherd's Bush Empire. Following a planned performance at the canceled 2020 Download Festival, they announced a headline UK tour for April 2021 playing songs from their first three albums.
</p>
"
The Weepies,band,Cambridge,2001–2022,The Weepies,"<p class=""mw-empty-elt"">
</p>
<p><b>The Weepies</b> were an American indie pop-folk band consisting of singer-songwriters Steve Tannen and Deb Talan. Their music has been described as ""subtly intoxicating folk-pop"".</p>

"
The Rakes,band,London,2003–2009,The Rakes,"<p class=""mw-empty-elt"">

</p>
<p><b>The Rakes</b> were an English post-punk band formed in London in 2003. Their first album <i>Capture/Release</i> released in 2005, received a nine out of ten review in the <i>NME</i> and was rated 13th best album of the year in the same paper. The band cited in their influences the Specials, Siouxsie and the Banshees and Pulp.</p><p>The band disbanded in October 2009, after six years.
</p>

"
Donavon Frankenreiter,band,Downey,2000-present,Donavon Frankenreiter,"<p><b>Donavon Frankenreiter</b> (born December 10, 1972) is an American musician and surfer. His debut self-titled album was released in 2004 on Brushfire Records through Universal Music.
</p>
"
Pennywise,band,Hermosa Beach,1988–present,Pennywise (band),"<p class=""mw-empty-elt"">
</p>
<p><b>Pennywise</b> is an American punk rock band from Hermosa Beach, California, formed in 1988. The band took its name from the antagonist in Stephen King's horror novel <i>It</i> known as Pennywise the Dancing Clown.</p><p>Between their 1991 self-titled debut and 2005's <i>The Fuse</i>, Pennywise released an album every two years on Epitaph Records, a label owned by Bad Religion guitarist Brett Gurewitz. To date, the band has released twelve full-length studio albums, one live album, two EPs and one DVD. Although their first two studio albums were critically acclaimed, Pennywise would not experience worldwide commercial success until the 1995 release of their third studio album, <i>About Time</i>, which peaked at number ninety-six on the Billboard 200, and number fifty-five on Australia's ARIA Charts. The band's mainstream success coincided with a growing interest in punk rock during the 1990s, along with fellow California bands NOFX, Rancid, Blink-182, Bad Religion, Green Day, The Offspring, Lagwagon and Sublime. By 2007, the band had independently sold over three million records worldwide.</p><p>Pennywise's current line-up consists of Jim Lindberg (vocals), Fletcher Dragge (guitars), Randy Bradbury (bass) and Byron McMackin (drums). They had kept their original line-up together until bassist Jason Thirsk died of a self-inflicted gunshot wound in 1996, due to issues with his alcoholism, after which Bradbury joined as his replacement. In August 2009, Lindberg decided to leave the band; he was replaced in February 2010 by Ignite singer Zoli Téglás. With Téglás, the band recorded their tenth studio album <i>All or Nothing</i>, which was released on May 1, 2012. Lindberg rejoined the band later that year after Téglás was sidelined by a back injury.
</p>"
Mystery Jets,band,Eel Pie Island,2003–present,Mystery Jets,"<p class=""mw-empty-elt"">

</p>
<p><b>Mystery Jets</b> are an English indie rock band, formerly based on Eel Pie Island in Twickenham, London. The band consists of Blaine Harrison (vocals, guitar and keyboards), Jack Flanagan (bass and vocals), Kapil Trivedi (drums) and Henry Harrison (lyrics).</p>

"
Neon Indian,band,Denton,2008–present,Neon Indian,"<p><b>Neon Indian</b> is an American electronic music band from Denton, Texas. The music is composed by Mexican-born Alan Palomo (born July 24, 1988), who is also known for his work with the band Ghosthustler, and as the solo artist VEGA. The project has been characterized as defining the 2010s music genre chillwave.</p><p>The band's debut studio album, <i>Psychic Chasms</i>, was released in October 2009 to favorable reviews. <i>Rolling Stone</i> named Neon Indian one of the best new bands of 2010. Their second studio album, <i>Era Extraña</i>, was released in September 2011, followed by <i>Vega Intl. Night School</i> in October 2015.
</p>

"
The Alan Parsons Project,band,London,1975–1990,The Alan Parsons Project,"<p class=""mw-empty-elt"">

</p>
<p><b>The Alan Parsons Project</b> was a British rock band active between 1975 and 1990, whose core membership consisted of producer, audio engineer, musician and composer Alan Parsons and singer, songwriter and pianist Eric Woolfson. They were accompanied by varying session musicians and some relatively consistent session players such as guitarist Ian Bairnson, arranger Andrew Powell, bassist and vocalist David Paton, drummer Stuart Elliott, and vocalists Lenny Zakatek and Chris Rainbow. Parsons and Woolfson shared writing credits on almost all of the Project's songs, with Parsons producing or co-producing all of the band's recordings.
</p><p>The Alan Parsons Project released eleven studio albums in its 15-year career, the most successful being <i>I Robot</i> (1977) and <i>Eye in the Sky</i> (1982). Many of their albums are conceptual in nature and focus on science fiction, supernatural, literary and sociological themes. Among the group's most popular songs are ""I Wouldn't Want to Be Like You"", ""Games People Play"", ""Time"", ""Sirius""/""Eye in the Sky"" and ""Don't Answer Me"".
</p>"
Spandau Ballet,band,Islington,1979–1990|2009–2019,Spandau Ballet,"<p class=""mw-empty-elt"">

</p>
<p><b>Spandau Ballet</b> (<span></span>) were an English new wave band formed in Islington, London, in 1979. Inspired by the capital's post-punk underground dance scene, they emerged at the start of the 1980s as the house band for the Blitz Kids, playing ""European Dance Music"" as ""The Applause"" for this new club culture's audience. They became one of the most successful groups of the New Romantic era of British pop and were part of the Second British Invasion of the <i>Billboard</i> Top 40 in the 1980s, selling 25 million albums and having 23 hit singles worldwide. The band have had eight UK top 10 albums, including three greatest hits compilations and an album of re-recorded material. Their musical influences ranged from punk rock and soul music to the American crooners Frank Sinatra and Tony Bennett.</p><p>The band's classic lineup featured Gary Kemp on guitar, synthesiser and backing vocals, his brother Martin Kemp on bass, vocalist Tony Hadley, saxophonist Steve Norman and drummer John Keeble. Gary Kemp was also the band's songwriter. Their debut single ""To Cut a Long Story Short"" reached No. 5 in the UK in 1980 and was the first of ten UK top-10 singles. The band peaked in popularity in 1983 with the album <i>True</i>, as its title track reached No. 1 in the UK and the top 5 in the US. In 2011, it received a BMI award as one of the most-played songs in US history with four million airplays. In 1984, they received a Brit Award for technical excellence and were the first act to be approached by Bob Geldof to join the original Band Aid lineup. In 1985, they performed at the Live Aid benefit concert at Wembley Stadium.
</p><p>In 1990, the band played their last live show before a 19-year absence. In 1999, Hadley, Norman and Keeble launched an unsuccessful case in the High Court against Gary Kemp and his Reformation Publishing Company for a share of the band's songwriting royalties. Spandau Ballet reformed in 2009 for The Reformation Tour, a sell-out ""greatest hits"" world tour. In 2014, their archive-only feature-length documentary biopic, <i>Soul Boys of the Western World</i>, was world-premiered at SXSW Film Festival in Austin, Texas. It was officially screened at the Rome, Ghent (Belgium) and NYC Doc film festivals and received its European premiere at the Royal Albert Hall, London.
</p><p>In 2017, Hadley left Spandau Ballet. A year later, singer and actor Ross William Wild became their new frontman for a series of European live dates and a one-off show at Eventim's Hammersmith Apollo. In May 2019, Wild tweeted that he had quit the band ""to pursue my own music with my band Mercutio"", while Spandau bass player Martin Kemp confirmed there were no further plans for Spandau to tour without original singer Hadley.</p>"
Okkervil River,band,Austin,1998–present,Okkervil River,"<p class=""mw-empty-elt"">
</p>
<p><b>Okkervil River</b> is an American rock band led by singer-songwriter Will Sheff. Formed in Austin, Texas, in 1998, the band takes its name from a short story by Russian author Tatyana Tolstaya set on the river Okkervil in Saint Petersburg. They began as a trio made up of Sheff and friends he had met in his native state of New Hampshire but, over time, have gone through many lineups.
</p><p>Okkervil River self-released their first album, <i>Stars Too Small to Use,</i> which led them to the South by Southwest music festival. After recording their first album in a garage, they signed with Jagjaguwar. They continued by releasing four more albums, including the critically lauded concept album <i>Black Sheep Boy</i>.</p><p>After a period of touring for <i>Black Sheep Boy</i>, Okkervil River followed up with <i>The Stage Names</i>. The album sold 10,000 in its opening week in the United States. The group released a free covers album, <i>Golden Opportunities Mixtape</i> from their live performances.</p><p>The band has garnered positive critical reception.
They have appeared on the talk show <i>Late Night with Conan O'Brien</i> and have performed with acts such as The Decemberists, The New Pornographers, The National, and Lou Reed.
</p><p>Okkervil River released the album <i>The Stand Ins</i> in 2008. They promoted the release with a series of cover songs from the album on YouTube by people they've met as a band. Their 2010 collaboration as a backing band with psychedelic rocker Roky Erickson yielded <i>True Love Cast Out All Evil</i>. In 2011, Okkervil River released their sixth full-length album, <i>I Am Very Far</i>, which peaked at No. 32 on the <i>Billboard</i> 200. The band released their seventh album, <i>The Silver Gymnasium</i>, in 2013. The album peaked at No. 66 on the <i>Billboard</i> 200. This was followed by the album, <i>Away,</i> which was released in 2016 on ATO Records. Their ninth album, In the Rainbow Rain, was released by ATO in 2018.
</p>

"
Blackstreet,band,New York City,,Blackstreet,"<p class=""mw-empty-elt"">

</p>
<p><b>Blackstreet</b> (often stylized as <b>BLACKstreet</b>) is an American R&amp;B group founded in 1991 by record producers Chauncey ""Black"" Hannibal, and Teddy ""Street"" Riley. The group has released four albums with Interscope Records until 2003. They achieved relative success leading up to the single ""No Diggity"" (featuring Dr. Dre and Queen Pen), which peaked at number 1 for four weeks in November 1996. 
</p>"
Cold,band,,,"Cold, Cold Heart","<p>""<b>Cold, Cold Heart</b>"" is a country music and pop song written and first recorded by Hank Williams. This blues ballad is both a classic of honky-tonk and an entry in the <i>Great American Songbook</i>.
</p>

"
Sugar Ray,band,Newport Beach,,Sugar Ray,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>
<p><b>Sugar Ray</b> is an American rock band formed in Newport Beach, California, in 1986. Originally playing heavier funk metal and nu metal style music, the band achieved mainstream popularity in 1997 with their more pop-influenced single ""Fly"". The song's success led the band to shift its style dramatically to the more radio-friendly pop sound with their subsequent releases. Their best-selling album, <i>14:59</i>, was released in 1999, and featured popular singles ""Every Morning"", ""Someday"", followed by a self-titled album in 2001 featuring the single ""When It's Over"". The band would release two further albums, <i>In the Pursuit of Leisure</i> (2003) and <i>Music for Cougars</i> (2009), though the albums and respective singles generally sold far less. The band continued to tour into the 2010s.
</p><p>In 2019, ten years after the band's last album, they announced their seventh studio album, <i>Little Yachty</i>, in June 2019. The lead single, ""Make It Easy"", was released the same month.
</p>"
Buena Vista Social Club,band,,1996–2015,Buena Vista Social Club,"<p class=""mw-empty-elt"">
</p>
<p><b>Buena Vista Social Club</b> is an ensemble of Cuban musicians established in 1996. The project was organized by World Circuit executive Nick Gold, produced by American guitarist Ry Cooder and directed by Juan de Marcos González. They named the group after the homonymous members' club in the Buenavista quarter of Havana, a popular music venue in the 1940s. To showcase the popular styles of the time, such as son, bolero and danzón, they recruited a dozen veteran musicians, some of whom had been retired for many years.
</p><p>The group's eponymous album was recorded in March 1996 and released in September 1997, quickly becoming an international success, which prompted the ensemble to perform with a full line-up in Amsterdam and New York in 1998. German director Wim Wenders captured the performance on film for a documentary—also called <i>Buena Vista Social Club</i>—that included interviews with the musicians conducted in Havana. Wenders' film was released in June 1999 to critical acclaim, receiving an Academy Award nomination for Best Documentary feature and winning numerous accolades including Best Documentary at the European Film Awards. This was followed up by a second documentary <i>Buena Vista Social Club: Adios</i> in 2017.
</p><p>The success of both the album and film sparked a revival of interest in traditional Cuban music and Latin American music in general. Some of the Cuban performers later released well-received solo albums and recorded collaborations with stars from different musical genres. The ""Buena Vista Social Club"" name became an umbrella term to describe these performances and releases, and has been likened to a brand label that encapsulates Cuba's ""musical golden age"" between the 1930s and 1950s. The new success was fleeting for the most recognizable artists in the ensemble: Compay Segundo, Rubén González, and Ibrahim Ferrer, who died at the ages of ninety-five, eighty-four, and seventy-eight respectively; Compay Segundo and González in 2003, then Ferrer in 2005.
</p><p>Several surviving members of the Buena Vista Social Club, such as tresero Eliades Ochoa, veteran singer Omara Portuondo, trumpeter Manuel ""Guajiro"" Mirabal, laúd player Barbarito Torres and trombonist and conductor Jesús ""Aguaje"" Ramos currently tour worldwide, with new members such as singer Carlos Calunga and pianist Rolando Luna, as part of a 13-member band called <b>Orquesta Buena Vista Social Club</b>.</p>"
4 Non Blondes,band,San Francisco,"1989–1994, 2014",4 Non Blondes,"<p class=""mw-empty-elt"">
</p>
<p><b>4 Non Blondes</b> were an American alternative rock band from San Francisco, active from 1989 to 1994. Their only album, <i>Bigger, Better, Faster, More!</i>, spent 59 weeks on the <i>Billboard</i> 200 and sold 1.5 million copies between 1992 and 1994. They hit the charts in 1993 with the release of the album's second single, ""What's Up?"".</p><p>Originally, the band was all-female, with vocalist Linda Perry, bassist Christa Hillhouse, guitarist Shaunna Hall, and drummer Wanda Day. However, along with Day being replaced by Dawn Richardson, Hall was replaced by Roger Rocha before the release of the album.
</p><p>Perry left the band in 1994, and the remaining members disbanded shortly after.</p>"
